NGO_ID,NGO_Name,Country,Sector,Focus_Area
739,Global Impact Foundation 739,UAE,Child Welfare,Community Health
740,Global Impact Foundation 740,UAE,Education,Rural Development
741,Global Impact Foundation 741,Brazil,Environment,Rural Development
742,Global Impact Foundation 742,Brazil,Human Rights,Urban Support
743,Global Impact Foundation 743,South Africa,Education,Community Health
744,Global Impact Foundation 744,Canada,Child Welfare,Disaster Relief
745,Global Impact Foundation 745,Kenya,Environment,Disaster Relief
746,Global Impact Foundation 746,India,Health,Community Health
747,Global Impact Foundation 747,UAE,Health,Community Health
748,Global Impact Foundation 748,Brazil,Education,Community Health
749,Global Impact Foundation 749,USA,Child Welfare,Skill Development
750,Global Impact Foundation 750,Kenya,Women Empowerment,Policy Advocacy
751,Global Impact Foundation 751,Canada,Environment,Urban Support
752,Global Impact Foundation 752,USA,Environment,Urban Support
753,Global Impact Foundation 753,USA,Human Rights,Skill Development
754,Global Impact Foundation 754,South Africa,Health,Policy Advocacy
755,Global Impact Foundation 755,USA,Child Welfare,Policy Advocacy
756,Global Impact Foundation 756,USA,Education,Urban Support
757,Global Impact Foundation 757,Australia,Education,Rural Development
758,Global Impact Foundation 758,UK,Women Empowerment,Policy Advocacy
759,Global Impact Foundation 759,Germany,Environment,Urban Support
760,Global Impact Foundation 760,Germany,Environment,Disaster Relief
761,Global Impact Foundation 761,UAE,Human Rights,Rural Development
762,Global Impact Foundation 762,UK,Human Rights,Rural Development
763,Global Impact Foundation 763,USA,Health,Policy Advocacy
764,Global Impact Foundation 764,South Africa,Health,Skill Development
765,Global Impact Foundation 765,USA,Health,Urban Support
766,Global Impact Foundation 766,Kenya,Child Welfare,Community Health
767,Global Impact Foundation 767,UAE,Education,Community Health
768,Global Impact Foundation 768,Australia,Environment,Urban Support
769,Global Impact Foundation 769,South Africa,Women Empowerment,Rural Development
770,Global Impact Foundation 770,UAE,Human Rights,Policy Advocacy
771,Global Impact Foundation 771,UAE,Women Empowerment,Urban Support
772,Global Impact Foundation 772,Canada,Environment,Urban Support
773,Global Impact Foundation 773,Canada,Environment,Policy Advocacy
774,Global Impact Foundation 774,Canada,Women Empowerment,Disaster Relief
775,Global Impact Foundation 775,Australia,Education,Policy Advocacy
776,Global Impact Foundation 776,India,Poverty Relief,Rural Development
777,Global Impact Foundation 777,Canada,Health,Skill Development
778,Global Impact Foundation 778,UK,Human Rights,Community Health
779,Global Impact Foundation 779,Australia,Women Empowerment,Skill Development
780,Global Impact Foundation 780,Germany,Health,Urban Support
781,Global Impact Foundation 781,Kenya,Human Rights,Skill Development
782,Global Impact Foundation 782,Canada,Health,Rural Development
783,Global Impact Foundation 783,Kenya,Human Rights,Urban Support
784,Global Impact Foundation 784,India,Women Empowerment,Urban Support
785,Global Impact Foundation 785,India,Women Empowerment,Skill Development
786,Global Impact Foundation 786,South Africa,Poverty Relief,Skill Development
787,Global Impact Foundation 787,USA,Women Empowerment,Skill Development
788,Global Impact Foundation 788,UAE,Environment,Skill Development
789,Global Impact Foundation 789,Australia,Poverty Relief,Urban Support
790,Global Impact Foundation 790,Kenya,Child Welfare,Rural Development
791,Global Impact Foundation 791,USA,Environment,Policy Advocacy
792,Global Impact Foundation 792,Brazil,Women Empowerment,Rural Development
793,Global Impact Foundation 793,Germany,Child Welfare,Policy Advocacy
794,Global Impact Foundation 794,Brazil,Poverty Relief,Disaster Relief
795,Global Impact Foundation 795,Australia,Health,Urban Support
796,Global Impact Foundation 796,South Africa,Health,Policy Advocacy
797,Global Impact Foundation 797,Kenya,Human Rights,Rural Development
798,Global Impact Foundation 798,Australia,Health,Rural Development
799,Global Impact Foundation 799,USA,Environment,Skill Development
800,Global Impact Foundation 800,South Africa,Women Empowerment,Rural Development
801,Global Impact Foundation 801,Kenya,Human Rights,Rural Development
802,Global Impact Foundation 802,UAE,Health,Community Health
803,Global Impact Foundation 803,UAE,Education,Rural Development
804,Global Impact Foundation 804,UAE,Human Rights,Policy Advocacy
805,Global Impact Foundation 805,USA,Women Empowerment,Disaster Relief
806,Global Impact Foundation 806,USA,Human Rights,Policy Advocacy
807,Global Impact Foundation 807,India,Human Rights,Policy Advocacy
808,Global Impact Foundation 808,Australia,Poverty Relief,Policy Advocacy
809,Global Impact Foundation 809,Brazil,Health,Skill Development
810,Global Impact Foundation 810,India,Human Rights,Urban Support
811,Global Impact Foundation 811,Canada,Child Welfare,Disaster Relief
812,Global Impact Foundation 812,South Africa,Education,Rural Development
813,Global Impact Foundation 813,India,Education,Urban Support
814,Global Impact Foundation 814,UAE,Human Rights,Rural Development
815,Global Impact Foundation 815,UK,Education,Skill Development
816,Global Impact Foundation 816,India,Poverty Relief,Skill Development
817,Global Impact Foundation 817,Canada,Women Empowerment,Community Health
818,Global Impact Foundation 818,India,Education,Rural Development
819,Global Impact Foundation 819,UAE,Women Empowerment,Skill Development
820,Global Impact Foundation 820,Australia,Health,Policy Advocacy
821,Global Impact Foundation 821,UAE,Education,Policy Advocacy
822,Global Impact Foundation 822,Kenya,Human Rights,Policy Advocacy
823,Global Impact Foundation 823,South Africa,Health,Urban Support
824,Global Impact Foundation 824,UK,Child Welfare,Skill Development
825,Global Impact Foundation 825,Australia,Health,Rural Development
826,Global Impact Foundation 826,UAE,Human Rights,Urban Support
827,Global Impact Foundation 827,Brazil,Poverty Relief,Skill Development
828,Global Impact Foundation 828,Kenya,Education,Disaster Relief
829,Global Impact Foundation 829,UAE,Poverty Relief,Rural Development
830,Global Impact Foundation 830,UK,Education,Rural Development
831,Global Impact Foundation 831,Kenya,Human Rights,Policy Advocacy
832,Global Impact Foundation 832,Kenya,Health,Skill Development
833,Global Impact Foundation 833,Kenya,Environment,Disaster Relief
834,Global Impact Foundation 834,UAE,Child Welfare,Policy Advocacy
835,Global Impact Foundation 835,Kenya,Education,Skill Development
836,Global Impact Foundation 836,UAE,Education,Urban Support
837,Global Impact Foundation 837,South Africa,Women Empowerment,Policy Advocacy
838,Global Impact Foundation 838,USA,Education,Disaster Relief
839,Global Impact Foundation 839,South Africa,Health,Rural Development
840,Global Impact Foundation 840,UK,Child Welfare,Rural Development
841,Global Impact Foundation 841,USA,Environment,Skill Development
842,Global Impact Foundation 842,UAE,Environment,Community Health
843,Global Impact Foundation 843,South Africa,Health,Urban Support
844,Global Impact Foundation 844,India,Human Rights,Rural Development
845,Global Impact Foundation 845,UK,Health,Skill Development
846,Global Impact Foundation 846,India,Poverty Relief,Skill Development
847,Global Impact Foundation 847,India,Health,Urban Support
848,Global Impact Foundation 848,Kenya,Health,Skill Development
849,Global Impact Foundation 849,Kenya,Education,Policy Advocacy
850,Global Impact Foundation 850,Australia,Poverty Relief,Urban Support
851,Global Impact Foundation 851,Australia,Environment,Urban Support
852,Global Impact Foundation 852,Brazil,Child Welfare,Urban Support
853,Global Impact Foundation 853,UK,Child Welfare,Rural Development
854,Global Impact Foundation 854,Germany,Poverty Relief,Disaster Relief
855,Global Impact Foundation 855,USA,Child Welfare,Skill Development
856,Global Impact Foundation 856,India,Human Rights,Policy Advocacy
857,Global Impact Foundation 857,South Africa,Education,Skill Development
858,Global Impact Foundation 858,Brazil,Environment,Urban Support
859,Global Impact Foundation 859,Canada,Child Welfare,Urban Support
860,Global Impact Foundation 860,UK,Education,Policy Advocacy
861,Global Impact Foundation 861,Germany,Women Empowerment,Community Health
862,Global Impact Foundation 862,South Africa,Child Welfare,Urban Support
863,Global Impact Foundation 863,India,Human Rights,Rural Development
864,Global Impact Foundation 864,India,Health,Community Health
865,Global Impact Foundation 865,USA,Health,Urban Support
866,Global Impact Foundation 866,Canada,Education,Disaster Relief
867,Global Impact Foundation 867,Canada,Human Rights,Disaster Relief
868,Global Impact Foundation 868,USA,Women Empowerment,Rural Development
869,Global Impact Foundation 869,UK,Child Welfare,Skill Development
870,Global Impact Foundation 870,Brazil,Education,Disaster Relief
871,Global Impact Foundation 871,Germany,Child Welfare,Skill Development
872,Global Impact Foundation 872,South Africa,Education,Policy Advocacy
873,Global Impact Foundation 873,UAE,Poverty Relief,Disaster Relief
874,Global Impact Foundation 874,India,Education,Urban Support
875,Global Impact Foundation 875,Australia,Child Welfare,Policy Advocacy
876,Global Impact Foundation 876,Australia,Human Rights,Skill Development
877,Global Impact Foundation 877,USA,Women Empowerment,Urban Support
878,Global Impact Foundation 878,Australia,Human Rights,Urban Support
879,Global Impact Foundation 879,Brazil,Child Welfare,Policy Advocacy
880,Global Impact Foundation 880,Canada,Women Empowerment,Skill Development
881,Global Impact Foundation 881,UAE,Health,Community Health
882,Global Impact Foundation 882,South Africa,Child Welfare,Community Health
883,Global Impact Foundation 883,Australia,Child Welfare,Urban Support
884,Global Impact Foundation 884,India,Education,Skill Development
885,Global Impact Foundation 885,India,Health,Policy Advocacy
886,Global Impact Foundation 886,Canada,Poverty Relief,Disaster Relief
887,Global Impact Foundation 887,Brazil,Human Rights,Policy Advocacy
888,Global Impact Foundation 888,USA,Women Empowerment,Urban Support
889,Global Impact Foundation 889,UK,Health,Disaster Relief
890,Global Impact Foundation 890,Australia,Environment,Policy Advocacy
891,Global Impact Foundation 891,Brazil,Education,Urban Support
892,Global Impact Foundation 892,India,Environment,Urban Support
893,Global Impact Foundation 893,UK,Health,Disaster Relief
894,Global Impact Foundation 894,Kenya,Education,Community Health
895,Global Impact Foundation 895,Brazil,Women Empowerment,Rural Development
896,Global Impact Foundation 896,India,Poverty Relief,Urban Support
897,Global Impact Foundation 897,USA,Poverty Relief,Policy Advocacy
898,Global Impact Foundation 898,USA,Child Welfare,Disaster Relief
899,Global Impact Foundation 899,USA,Environment,Skill Development
900,Global Impact Foundation 900,Kenya,Child Welfare,Urban Support
901,Global Impact Foundation 901,India,Health,Urban Support
902,Global Impact Foundation 902,Brazil,Environment,Community Health
903,Global Impact Foundation 903,Australia,Environment,Skill Development
904,Global Impact Foundation 904,India,Poverty Relief,Disaster Relief
905,Global Impact Foundation 905,Kenya,Women Empowerment,Skill Development
906,Global Impact Foundation 906,South Africa,Education,Urban Support
907,Global Impact Foundation 907,Brazil,Education,Skill Development
908,Global Impact Foundation 908,Canada,Poverty Relief,Policy Advocacy
909,Global Impact Foundation 909,South Africa,Child Welfare,Community Health
910,Global Impact Foundation 910,Brazil,Health,Rural Development
911,Global Impact Foundation 911,Canada,Environment,Urban Support
912,Global Impact Foundation 912,Kenya,Education,Rural Development
913,Global Impact Foundation 913,Australia,Health,Skill Development
914,Global Impact Foundation 914,India,Women Empowerment,Skill Development
915,Global Impact Foundation 915,South Africa,Child Welfare,Community Health
916,Global Impact Foundation 916,South Africa,Women Empowerment,Skill Development
917,Global Impact Foundation 917,Canada,Women Empowerment,Urban Support
918,Global Impact Foundation 918,UK,Women Empowerment,Community Health
919,Global Impact Foundation 919,South Africa,Poverty Relief,Urban Support
920,Global Impact Foundation 920,UAE,Child Welfare,Policy Advocacy
921,Global Impact Foundation 921,UAE,Human Rights,Rural Development
922,Global Impact Foundation 922,Germany,Health,Disaster Relief
923,Global Impact Foundation 923,Australia,Education,Policy Advocacy
924,Global Impact Foundation 924,India,Poverty Relief,Community Health
925,Global Impact Foundation 925,USA,Child Welfare,Rural Development
926,Global Impact Foundation 926,USA,Health,Disaster Relief
927,Global Impact Foundation 927,UAE,Environment,Urban Support
928,Global Impact Foundation 928,Germany,Child Welfare,Rural Development
929,Global Impact Foundation 929,Kenya,Poverty Relief,Policy Advocacy
930,Global Impact Foundation 930,Kenya,Education,Skill Development
931,Global Impact Foundation 931,UK,Women Empowerment,Community Health
932,Global Impact Foundation 932,Germany,Child Welfare,Skill Development
933,Global Impact Foundation 933,Australia,Child Welfare,Rural Development
934,Global Impact Foundation 934,Canada,Health,Rural Development
935,Global Impact Foundation 935,USA,Women Empowerment,Skill Development
936,Global Impact Foundation 936,South Africa,Human Rights,Rural Development
937,Global Impact Foundation 937,Brazil,Health,Rural Development
938,Global Impact Foundation 938,Canada,Environment,Policy Advocacy
939,Global Impact Foundation 939,Germany,Poverty Relief,Skill Development
940,Global Impact Foundation 940,Canada,Education,Urban Support
941,Global Impact Foundation 941,Australia,Environment,Policy Advocacy
942,Global Impact Foundation 942,Germany,Health,Urban Support
943,Global Impact Foundation 943,South Africa,Education,Community Health
944,Global Impact Foundation 944,UK,Women Empowerment,Policy Advocacy
945,Global Impact Foundation 945,Kenya,Education,Community Health
946,Global Impact Foundation 946,UK,Women Empowerment,Disaster Relief
947,Global Impact Foundation 947,UK,Child Welfare,Policy Advocacy
948,Global Impact Foundation 948,India,Health,Community Health
949,Global Impact Foundation 949,Brazil,Health,Disaster Relief
950,Global Impact Foundation 950,India,Women Empowerment,Policy Advocacy
951,Global Impact Foundation 951,India,Health,Community Health
952,Global Impact Foundation 952,Brazil,Poverty Relief,Skill Development
953,Global Impact Foundation 953,India,Poverty Relief,Urban Support
954,Global Impact Foundation 954,South Africa,Child Welfare,Disaster Relief
955,Global Impact Foundation 955,Canada,Environment,Disaster Relief
956,Global Impact Foundation 956,Brazil,Education,Urban Support
957,Global Impact Foundation 957,Brazil,Human Rights,Rural Development
958,Global Impact Foundation 958,Germany,Education,Urban Support
959,Global Impact Foundation 959,USA,Child Welfare,Policy Advocacy
960,Global Impact Foundation 960,Brazil,Child Welfare,Policy Advocacy
961,Global Impact Foundation 961,UAE,Human Rights,Skill Development
962,Global Impact Foundation 962,South Africa,Environment,Skill Development
963,Global Impact Foundation 963,UK,Child Welfare,Community Health
964,Global Impact Foundation 964,Brazil,Education,Policy Advocacy
965,Global Impact Foundation 965,India,Human Rights,Community Health
966,Global Impact Foundation 966,Germany,Child Welfare,Rural Development
967,Global Impact Foundation 967,UAE,Women Empowerment,Community Health
968,Global Impact Foundation 968,Brazil,Women Empowerment,Rural Development
969,Global Impact Foundation 969,USA,Women Empowerment,Policy Advocacy
970,Global Impact Foundation 970,UAE,Child Welfare,Disaster Relief
971,Global Impact Foundation 971,UK,Health,Community Health
972,Global Impact Foundation 972,Kenya,Health,Skill Development
973,Global Impact Foundation 973,Germany,Environment,Skill Development
974,Global Impact Foundation 974,Germany,Health,Urban Support
975,Global Impact Foundation 975,Brazil,Women Empowerment,Community Health
976,Global Impact Foundation 976,Canada,Child Welfare,Urban Support
977,Global Impact Foundation 977,UK,Health,Policy Advocacy
978,Global Impact Foundation 978,South Africa,Health,Rural Development
979,Global Impact Foundation 979,Brazil,Health,Policy Advocacy
980,Global Impact Foundation 980,Germany,Education,Policy Advocacy
981,Global Impact Foundation 981,India,Women Empowerment,Community Health
982,Global Impact Foundation 982,Germany,Child Welfare,Community Health
983,Global Impact Foundation 983,UAE,Environment,Community Health
984,Global Impact Foundation 984,Canada,Women Empowerment,Community Health
985,Global Impact Foundation 985,Canada,Poverty Relief,Policy Advocacy
986,Global Impact Foundation 986,UK,Poverty Relief,Rural Development
987,Global Impact Foundation 987,Germany,Environment,Community Health
988,Global Impact Foundation 988,India,Child Welfare,Disaster Relief
989,Global Impact Foundation 989,UK,Child Welfare,Skill Development
990,Global Impact Foundation 990,Canada,Health,Community Health
991,Global Impact Foundation 991,Kenya,Child Welfare,Urban Support
992,Global Impact Foundation 992,Germany,Health,Rural Development
993,Global Impact Foundation 993,UAE,Environment,Disaster Relief
994,Global Impact Foundation 994,Kenya,Education,Community Health
995,Global Impact Foundation 995,India,Human Rights,Urban Support
996,Global Impact Foundation 996,India,Environment,Community Health
997,Global Impact Foundation 997,Germany,Child Welfare,Urban Support
998,Global Impact Foundation 998,UK,Health,Policy Advocacy
999,Global Impact Foundation 999,Brazil,Human Rights,Community Health
1000,Global Impact Foundation 1000,India,Poverty Relief,Skill Development
1001,Global Impact Foundation 1001,UK,Child Welfare,Rural Development
1002,Global Impact Foundation 1002,UK,Health,Urban Support
1003,Global Impact Foundation 1003,Kenya,Women Empowerment,Rural Development
1004,Global Impact Foundation 1004,Australia,Environment,Policy Advocacy
1005,Global Impact Foundation 1005,Germany,Women Empowerment,Rural Development
1006,Global Impact Foundation 1006,India,Poverty Relief,Rural Development
1007,Global Impact Foundation 1007,UAE,Health,Skill Development
1008,Global Impact Foundation 1008,Germany,Child Welfare,Skill Development
1009,Global Impact Foundation 1009,India,Human Rights,Disaster Relief
1010,Global Impact Foundation 1010,USA,Human Rights,Disaster Relief
1011,Global Impact Foundation 1011,USA,Environment,Skill Development
1012,Global Impact Foundation 1012,UK,Human Rights,Policy Advocacy
1013,Global Impact Foundation 1013,Brazil,Health,Urban Support
1014,Global Impact Foundation 1014,Canada,Poverty Relief,Rural Development
1015,Global Impact Foundation 1015,India,Human Rights,Community Health
1016,Global Impact Foundation 1016,Germany,Education,Disaster Relief
1017,Global Impact Foundation 1017,India,Child Welfare,Rural Development
1018,Global Impact Foundation 1018,South Africa,Health,Policy Advocacy
1019,Global Impact Foundation 1019,Canada,Environment,Skill Development
1020,Global Impact Foundation 1020,Canada,Education,Urban Support
1021,Global Impact Foundation 1021,Kenya,Poverty Relief,Urban Support
1022,Global Impact Foundation 1022,USA,Poverty Relief,Policy Advocacy
1023,Global Impact Foundation 1023,Brazil,Child Welfare,Community Health
1024,Global Impact Foundation 1024,UK,Health,Rural Development
1025,Global Impact Foundation 1025,UK,Child Welfare,Rural Development
1026,Global Impact Foundation 1026,Canada,Human Rights,Skill Development
1027,Global Impact Foundation 1027,UAE,Environment,Urban Support
1028,Global Impact Foundation 1028,UK,Poverty Relief,Urban Support
1029,Global Impact Foundation 1029,Canada,Child Welfare,Policy Advocacy
1030,Global Impact Foundation 1030,USA,Environment,Disaster Relief
1031,Global Impact Foundation 1031,UK,Health,Community Health
1032,Global Impact Foundation 1032,Australia,Women Empowerment,Community Health
1033,Global Impact Foundation 1033,South Africa,Education,Policy Advocacy
1034,Global Impact Foundation 1034,India,Child Welfare,Rural Development
1035,Global Impact Foundation 1035,UK,Health,Skill Development
1036,Global Impact Foundation 1036,Kenya,Human Rights,Urban Support
1037,Global Impact Foundation 1037,India,Environment,Urban Support
1038,Global Impact Foundation 1038,UK,Education,Rural Development
1039,Global Impact Foundation 1039,Australia,Women Empowerment,Skill Development
1040,Global Impact Foundation 1040,Kenya,Human Rights,Rural Development
1041,Global Impact Foundation 1041,Canada,Health,Community Health
1042,Global Impact Foundation 1042,UAE,Poverty Relief,Rural Development
1043,Global Impact Foundation 1043,India,Poverty Relief,Urban Support
1044,Global Impact Foundation 1044,Canada,Human Rights,Policy Advocacy
1045,Global Impact Foundation 1045,UAE,Health,Skill Development
1046,Global Impact Foundation 1046,Australia,Health,Community Health
1047,Global Impact Foundation 1047,Germany,Education,Rural Development
1048,Global Impact Foundation 1048,Germany,Human Rights,Community Health
1049,Global Impact Foundation 1049,USA,Education,Disaster Relief
1050,Global Impact Foundation 1050,UK,Child Welfare,Rural Development
1051,Global Impact Foundation 1051,Brazil,Women Empowerment,Disaster Relief
1052,Global Impact Foundation 1052,Germany,Environment,Skill Development
1053,Global Impact Foundation 1053,Australia,Women Empowerment,Rural Development
1054,Global Impact Foundation 1054,Australia,Women Empowerment,Disaster Relief
1055,Global Impact Foundation 1055,India,Women Empowerment,Community Health
1056,Global Impact Foundation 1056,USA,Human Rights,Policy Advocacy
1057,Global Impact Foundation 1057,UK,Environment,Disaster Relief
1058,Global Impact Foundation 1058,Germany,Health,Skill Development
1059,Global Impact Foundation 1059,Kenya,Education,Skill Development
1060,Global Impact Foundation 1060,UAE,Child Welfare,Urban Support
1061,Global Impact Foundation 1061,UK,Poverty Relief,Urban Support
1062,Global Impact Foundation 1062,Kenya,Poverty Relief,Urban Support
1063,Global Impact Foundation 1063,USA,Women Empowerment,Policy Advocacy
1064,Global Impact Foundation 1064,UAE,Child Welfare,Policy Advocacy
1065,Global Impact Foundation 1065,Australia,Women Empowerment,Community Health
1066,Global Impact Foundation 1066,South Africa,Child Welfare,Community Health
1067,Global Impact Foundation 1067,UK,Health,Skill Development
1068,Global Impact Foundation 1068,UAE,Child Welfare,Rural Development
1069,Global Impact Foundation 1069,Germany,Health,Community Health
1070,Global Impact Foundation 1070,Germany,Health,Rural Development
1071,Global Impact Foundation 1071,India,Education,Community Health
1072,Global Impact Foundation 1072,Canada,Environment,Disaster Relief
1073,Global Impact Foundation 1073,India,Human Rights,Urban Support
1074,Global Impact Foundation 1074,Kenya,Health,Rural Development
1075,Global Impact Foundation 1075,UK,Human Rights,Skill Development
1076,Global Impact Foundation 1076,Kenya,Environment,Urban Support
1077,Global Impact Foundation 1077,Australia,Education,Policy Advocacy
1078,Global Impact Foundation 1078,Brazil,Women Empowerment,Disaster Relief
1079,Global Impact Foundation 1079,UK,Child Welfare,Urban Support
1080,Global Impact Foundation 1080,Australia,Women Empowerment,Urban Support
1081,Global Impact Foundation 1081,Kenya,Education,Disaster Relief
1082,Global Impact Foundation 1082,Germany,Poverty Relief,Policy Advocacy
1083,Global Impact Foundation 1083,USA,Health,Skill Development
1084,Global Impact Foundation 1084,Australia,Education,Urban Support
1085,Global Impact Foundation 1085,South Africa,Women Empowerment,Skill Development
1086,Global Impact Foundation 1086,UK,Health,Rural Development
1087,Global Impact Foundation 1087,Germany,Education,Urban Support
1088,Global Impact Foundation 1088,UAE,Environment,Disaster Relief
1089,Global Impact Foundation 1089,Kenya,Women Empowerment,Disaster Relief
1090,Global Impact Foundation 1090,South Africa,Health,Community Health
1091,Global Impact Foundation 1091,USA,Women Empowerment,Community Health
1092,Global Impact Foundation 1092,Kenya,Health,Policy Advocacy
1093,Global Impact Foundation 1093,India,Child Welfare,Urban Support
1094,Global Impact Foundation 1094,India,Health,Policy Advocacy
1095,Global Impact Foundation 1095,India,Women Empowerment,Urban Support
1096,Global Impact Foundation 1096,Canada,Human Rights,Community Health
1097,Global Impact Foundation 1097,UAE,Environment,Urban Support
1098,Global Impact Foundation 1098,India,Education,Policy Advocacy
1099,Global Impact Foundation 1099,Brazil,Poverty Relief,Urban Support
1100,Global Impact Foundation 1100,India,Environment,Urban Support
1101,Global Impact Foundation 1101,Kenya,Human Rights,Skill Development
1102,Global Impact Foundation 1102,Kenya,Poverty Relief,Policy Advocacy
1103,Global Impact Foundation 1103,UAE,Poverty Relief,Skill Development
1104,Global Impact Foundation 1104,Kenya,Child Welfare,Policy Advocacy
1105,Global Impact Foundation 1105,Kenya,Women Empowerment,Policy Advocacy
1106,Global Impact Foundation 1106,Germany,Human Rights,Rural Development
1107,Global Impact Foundation 1107,Germany,Women Empowerment,Disaster Relief
1108,Global Impact Foundation 1108,UK,Health,Urban Support
1109,Global Impact Foundation 1109,UAE,Human Rights,Disaster Relief
1110,Global Impact Foundation 1110,Germany,Health,Urban Support
1111,Global Impact Foundation 1111,South Africa,Health,Disaster Relief
1112,Global Impact Foundation 1112,USA,Child Welfare,Policy Advocacy
1113,Global Impact Foundation 1113,Australia,Health,Policy Advocacy
1114,Global Impact Foundation 1114,Brazil,Environment,Rural Development
1115,Global Impact Foundation 1115,UK,Poverty Relief,Disaster Relief
1116,Global Impact Foundation 1116,Brazil,Poverty Relief,Rural Development
1117,Global Impact Foundation 1117,USA,Poverty Relief,Skill Development
1118,Global Impact Foundation 1118,India,Child Welfare,Community Health
1119,Global Impact Foundation 1119,Germany,Environment,Skill Development
1120,Global Impact Foundation 1120,UK,Poverty Relief,Urban Support
1121,Global Impact Foundation 1121,UAE,Education,Rural Development
1122,Global Impact Foundation 1122,USA,Women Empowerment,Rural Development
1123,Global Impact Foundation 1123,USA,Child Welfare,Skill Development
1124,Global Impact Foundation 1124,Kenya,Child Welfare,Rural Development
1125,Global Impact Foundation 1125,India,Environment,Policy Advocacy
1126,Global Impact Foundation 1126,India,Education,Community Health
1127,Global Impact Foundation 1127,UK,Women Empowerment,Policy Advocacy
1128,Global Impact Foundation 1128,Kenya,Women Empowerment,Policy Advocacy
1129,Global Impact Foundation 1129,Kenya,Human Rights,Urban Support
1130,Global Impact Foundation 1130,Canada,Environment,Community Health
1131,Global Impact Foundation 1131,UAE,Education,Community Health
1132,Global Impact Foundation 1132,Brazil,Poverty Relief,Skill Development
1133,Global Impact Foundation 1133,South Africa,Environment,Disaster Relief
1134,Global Impact Foundation 1134,Germany,Women Empowerment,Urban Support
1135,Global Impact Foundation 1135,South Africa,Environment,Rural Development
1136,Global Impact Foundation 1136,USA,Human Rights,Policy Advocacy
1137,Global Impact Foundation 1137,Canada,Poverty Relief,Skill Development
1138,Global Impact Foundation 1138,India,Poverty Relief,Community Health
1139,Global Impact Foundation 1139,South Africa,Environment,Rural Development
1140,Global Impact Foundation 1140,Brazil,Human Rights,Skill Development
1141,Global Impact Foundation 1141,Australia,Child Welfare,Urban Support
1142,Global Impact Foundation 1142,Canada,Environment,Urban Support
1143,Global Impact Foundation 1143,UK,Human Rights,Rural Development
1144,Global Impact Foundation 1144,Germany,Education,Community Health
1145,Global Impact Foundation 1145,India,Women Empowerment,Community Health
1146,Global Impact Foundation 1146,Canada,Environment,Rural Development
1147,Global Impact Foundation 1147,South Africa,Child Welfare,Rural Development
1148,Global Impact Foundation 1148,USA,Child Welfare,Community Health
1149,Global Impact Foundation 1149,Kenya,Poverty Relief,Disaster Relief
1150,Global Impact Foundation 1150,South Africa,Health,Policy Advocacy
1151,Global Impact Foundation 1151,USA,Women Empowerment,Urban Support
1152,Global Impact Foundation 1152,Germany,Child Welfare,Rural Development
1153,Global Impact Foundation 1153,UAE,Environment,Disaster Relief
1154,Global Impact Foundation 1154,Brazil,Poverty Relief,Community Health
1155,Global Impact Foundation 1155,Canada,Human Rights,Disaster Relief
1156,Global Impact Foundation 1156,Australia,Education,Skill Development
1157,Global Impact Foundation 1157,Kenya,Environment,Rural Development
1158,Global Impact Foundation 1158,South Africa,Women Empowerment,Disaster Relief
1159,Global Impact Foundation 1159,Australia,Poverty Relief,Rural Development
1160,Global Impact Foundation 1160,South Africa,Poverty Relief,Community Health
1161,Global Impact Foundation 1161,USA,Environment,Skill Development
1162,Global Impact Foundation 1162,Brazil,Child Welfare,Community Health
1163,Global Impact Foundation 1163,South Africa,Women Empowerment,Community Health
1164,Global Impact Foundation 1164,UK,Child Welfare,Policy Advocacy
1165,Global Impact Foundation 1165,USA,Health,Community Health
1166,Global Impact Foundation 1166,Brazil,Child Welfare,Rural Development
1167,Global Impact Foundation 1167,Australia,Child Welfare,Community Health
1168,Global Impact Foundation 1168,UK,Child Welfare,Rural Development
1169,Global Impact Foundation 1169,Canada,Poverty Relief,Urban Support
1170,Global Impact Foundation 1170,Brazil,Poverty Relief,Urban Support
1171,Global Impact Foundation 1171,South Africa,Poverty Relief,Policy Advocacy
1172,Global Impact Foundation 1172,Kenya,Women Empowerment,Policy Advocacy
1173,Global Impact Foundation 1173,Kenya,Child Welfare,Policy Advocacy
1174,Global Impact Foundation 1174,South Africa,Poverty Relief,Policy Advocacy
1175,Global Impact Foundation 1175,UK,Poverty Relief,Disaster Relief
1176,Global Impact Foundation 1176,USA,Poverty Relief,Policy Advocacy
1177,Global Impact Foundation 1177,South Africa,Poverty Relief,Disaster Relief
1178,Global Impact Foundation 1178,Kenya,Human Rights,Community Health
1179,Global Impact Foundation 1179,Australia,Education,Disaster Relief
1180,Global Impact Foundation 1180,Germany,Poverty Relief,Community Health
1181,Global Impact Foundation 1181,Kenya,Education,Policy Advocacy
1182,Global Impact Foundation 1182,UK,Women Empowerment,Community Health
1183,Global Impact Foundation 1183,Canada,Environment,Community Health
1184,Global Impact Foundation 1184,Germany,Women Empowerment,Disaster Relief
1185,Global Impact Foundation 1185,UK,Women Empowerment,Rural Development
1186,Global Impact Foundation 1186,India,Poverty Relief,Urban Support
1187,Global Impact Foundation 1187,UAE,Women Empowerment,Urban Support
1188,Global Impact Foundation 1188,Brazil,Education,Rural Development
1189,Global Impact Foundation 1189,Australia,Health,Policy Advocacy
1190,Global Impact Foundation 1190,USA,Health,Skill Development
