village_name,problem_type,severity,affected_families,ngo_1_name,ngo_1_work
Surat,"Malaria, Dengue, Tuberculosis, Low Immunization Coverage",High,51398,World Health Organization India,"UN specialized agency supporting India's health systems, disease eradication, epidemiological research, and policy advisory."
Hubli,"Malaria, Dengue, Tuberculosis, Low Immunization Coverage",Low,67466,National Family Health Survey (NFHS),"Large-scale household survey program collecting health, nutrition, and family welfare data across Indian states to guide policy."
Hubli,"Malaria, Dengue, Tuberculosis, Low Antenatal Care",High,48956,National Family Health Survey (NFHS),"Large-scale household survey program collecting health, nutrition, and family welfare data across Indian states to guide policy."
Pune,"Malaria, Dengue, Tuberculosis",Medium,58061,Health Management Information System (HMIS),"MoHFW digital platform aggregating public health facility data — OPD/IPD counts, deliveries, immunization, disease surveillance."
Pune,"Malaria, Dengue, Tuberculosis",Medium,16986,National Family Health Survey (NFHS),"Large-scale household survey program collecting health, nutrition, and family welfare data across Indian states to guide policy."
Bengaluru,"Malaria, Dengue, Tuberculosis",Medium,53445,Smile Foundation,"NGO delivering education, healthcare (mobile medical units), livelihood training, and women empowerment programs across 25+ Indian states."
Varanasi,"Malaria, Dengue, Tuberculosis, Low Immunization Coverage",Low,69997,Health Management Information System (HMIS),"MoHFW digital platform aggregating public health facility data — OPD/IPD counts, deliveries, immunization, disease surveillance."
Mumbai,"Malaria, Dengue, Tuberculosis",Medium,44885,Smile Foundation,"NGO delivering education, healthcare (mobile medical units), livelihood training, and women empowerment programs across 25+ Indian states."
Hubli,"Malaria, Dengue, Tuberculosis",Low,16644,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Nagpur,"Malaria, Dengue, Tuberculosis, Low Immunization Coverage",High,70919,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Varanasi,"Malaria, Dengue, Tuberculosis, Low Antenatal Care",Low,44671,National Family Health Survey (NFHS),"Large-scale household survey program collecting health, nutrition, and family welfare data across Indian states to guide policy."
Mysuru,"Malaria, Dengue, Tuberculosis",Medium,58702,National Health Mission (NHM),"Government of India program providing universal healthcare access — maternal & child health, immunization, disease control, and rural health infrastructure."
Chennai,"Malaria, Dengue, Tuberculosis, Low Immunization Coverage",High,30123,Smile Foundation,"NGO delivering education, healthcare (mobile medical units), livelihood training, and women empowerment programs across 25+ Indian states."
Mysuru,"Malaria, Dengue, Tuberculosis",High,28303,Health Management Information System (HMIS),"MoHFW digital platform aggregating public health facility data — OPD/IPD counts, deliveries, immunization, disease surveillance."
Hubli,"Malaria, Dengue, Tuberculosis",Low,36319,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Bengaluru,"Malaria, Dengue, Tuberculosis",Medium,39703,National Family Health Survey (NFHS),"Large-scale household survey program collecting health, nutrition, and family welfare data across Indian states to guide policy."
Varanasi,"Malaria, Dengue, Tuberculosis",Medium,31538,National Health Mission (NHM),"Government of India program providing universal healthcare access — maternal & child health, immunization, disease control, and rural health infrastructure."
Madurai,"Malaria, Dengue, Tuberculosis",High,39996,Health Management Information System (HMIS),"MoHFW digital platform aggregating public health facility data — OPD/IPD counts, deliveries, immunization, disease surveillance."
Vadodara,"Malaria, Dengue, Tuberculosis, Low Immunization Coverage",High,38657,National Family Health Survey (NFHS),"Large-scale household survey program collecting health, nutrition, and family welfare data across Indian states to guide policy."
Ahmedabad,"Malaria, Dengue, Tuberculosis",High,70932,Health Management Information System (HMIS),"MoHFW digital platform aggregating public health facility data — OPD/IPD counts, deliveries, immunization, disease surveillance."
Varanasi,"Malaria, Dengue, Tuberculosis",High,51268,Smile Foundation,"NGO delivering education, healthcare (mobile medical units), livelihood training, and women empowerment programs across 25+ Indian states."
Pune,"Malaria, Dengue, Tuberculosis",Medium,27497,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Hubli,"Malaria, Dengue, Tuberculosis",Low,21573,National Family Health Survey (NFHS),"Large-scale household survey program collecting health, nutrition, and family welfare data across Indian states to guide policy."
Surat,"Malaria, Dengue, Tuberculosis",Medium,47162,World Health Organization India,"UN specialized agency supporting India's health systems, disease eradication, epidemiological research, and policy advisory."
Coimbatore,"Malaria, Dengue, Tuberculosis, Low Immunization Coverage",Medium,51040,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Bengaluru,"Malaria, Dengue, Tuberculosis",Low,72767,Smile Foundation,"NGO delivering education, healthcare (mobile medical units), livelihood training, and women empowerment programs across 25+ Indian states."
Coimbatore,"Malaria, Dengue, Tuberculosis, Low Immunization Coverage",High,60333,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Varanasi,"Malaria, Dengue, Tuberculosis",Low,50177,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Hubli,"Malaria, Dengue, Tuberculosis",Low,22636,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Vadodara,"Malaria, Dengue, Tuberculosis, Low Antenatal Care",Low,72527,Smile Foundation,"NGO delivering education, healthcare (mobile medical units), livelihood training, and women empowerment programs across 25+ Indian states."
Varanasi,"Malaria, Dengue, Tuberculosis, Low Immunization Coverage, Low Antenatal Care",Low,57221,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Mysuru,"Malaria, Dengue, Tuberculosis",High,20068,Smile Foundation,"NGO delivering education, healthcare (mobile medical units), livelihood training, and women empowerment programs across 25+ Indian states."
Mysuru,"Malaria, Dengue, Tuberculosis",Low,16915,World Health Organization India,"UN specialized agency supporting India's health systems, disease eradication, epidemiological research, and policy advisory."
Surat,"Malaria, Dengue, Tuberculosis",Medium,65178,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Agra,"Malaria, Dengue, Tuberculosis, Low Antenatal Care",Low,61825,Smile Foundation,"NGO delivering education, healthcare (mobile medical units), livelihood training, and women empowerment programs across 25+ Indian states."
Coimbatore,"Malaria, Dengue, Tuberculosis",High,63963,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Bengaluru,"Malaria, Dengue, Tuberculosis",High,52944,Smile Foundation,"NGO delivering education, healthcare (mobile medical units), livelihood training, and women empowerment programs across 25+ Indian states."
Hubli,"Malaria, Dengue, Tuberculosis, Low Immunization Coverage",Low,39854,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Ahmedabad,"Malaria, Dengue, Tuberculosis",High,38065,Smile Foundation,"NGO delivering education, healthcare (mobile medical units), livelihood training, and women empowerment programs across 25+ Indian states."
Pune,"Malaria, Dengue, Tuberculosis",Medium,26812,Health Management Information System (HMIS),"MoHFW digital platform aggregating public health facility data — OPD/IPD counts, deliveries, immunization, disease surveillance."
Varanasi,"Malaria, Dengue, Tuberculosis",Medium,60501,National Health Mission (NHM),"Government of India program providing universal healthcare access — maternal & child health, immunization, disease control, and rural health infrastructure."
Mumbai,"Malaria, Dengue, Tuberculosis",Medium,40014,World Health Organization India,"UN specialized agency supporting India's health systems, disease eradication, epidemiological research, and policy advisory."
Pune,"Malaria, Dengue, Tuberculosis",Medium,70374,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Mysuru,"Malaria, Dengue, Tuberculosis",Medium,64059,Health Management Information System (HMIS),"MoHFW digital platform aggregating public health facility data — OPD/IPD counts, deliveries, immunization, disease surveillance."
Hubli,"Malaria, Dengue, Tuberculosis, Low Antenatal Care",Medium,40498,National Family Health Survey (NFHS),"Large-scale household survey program collecting health, nutrition, and family welfare data across Indian states to guide policy."
Mysuru,"Malaria, Dengue, Tuberculosis",Low,34483,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Agra,"Malaria, Dengue, Tuberculosis",Low,14330,World Health Organization India,"UN specialized agency supporting India's health systems, disease eradication, epidemiological research, and policy advisory."
Lucknow,"Malaria, Dengue, Tuberculosis, Low Antenatal Care",Medium,74278,National Health Mission (NHM),"Government of India program providing universal healthcare access — maternal & child health, immunization, disease control, and rural health infrastructure."
Agra,"Malaria, Dengue, Tuberculosis, Low Antenatal Care",Low,32475,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Madurai,"Malaria, Dengue, Tuberculosis",Medium,41772,National Health Mission (NHM),"Government of India program providing universal healthcare access — maternal & child health, immunization, disease control, and rural health infrastructure."
Vadodara,"Malaria, Dengue, Tuberculosis",High,54576,National Health Mission (NHM),"Government of India program providing universal healthcare access — maternal & child health, immunization, disease control, and rural health infrastructure."
Surat,"Malaria, Dengue, Tuberculosis",Low,51551,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Vadodara,"Malaria, Dengue, Tuberculosis",High,39070,Smile Foundation,"NGO delivering education, healthcare (mobile medical units), livelihood training, and women empowerment programs across 25+ Indian states."
Agra,"Malaria, Dengue, Tuberculosis",High,68741,Health Management Information System (HMIS),"MoHFW digital platform aggregating public health facility data — OPD/IPD counts, deliveries, immunization, disease surveillance."
Nagpur,"Malaria, Dengue, Tuberculosis",Low,48831,National Family Health Survey (NFHS),"Large-scale household survey program collecting health, nutrition, and family welfare data across Indian states to guide policy."
Mysuru,"Malaria, Dengue, Tuberculosis",High,66590,World Health Organization India,"UN specialized agency supporting India's health systems, disease eradication, epidemiological research, and policy advisory."
Surat,"Malaria, Dengue, Tuberculosis, Low Immunization Coverage",Medium,31863,National Health Mission (NHM),"Government of India program providing universal healthcare access — maternal & child health, immunization, disease control, and rural health infrastructure."
Ahmedabad,"Malaria, Dengue, Tuberculosis",Medium,18493,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Pune,"Malaria, Dengue, Tuberculosis",High,14815,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Chennai,"Malaria, Dengue, Tuberculosis",Medium,65106,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Agra,"Malaria, Dengue, Tuberculosis",Low,70837,World Health Organization India,"UN specialized agency supporting India's health systems, disease eradication, epidemiological research, and policy advisory."
Mysuru,"Malaria, Dengue, Tuberculosis",Low,47904,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Ahmedabad,"Malaria, Dengue, Tuberculosis",Medium,58136,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Hubli,"Malaria, Dengue, Tuberculosis",Low,30128,National Health Mission (NHM),"Government of India program providing universal healthcare access — maternal & child health, immunization, disease control, and rural health infrastructure."
Bengaluru,"Malaria, Dengue, Tuberculosis",Medium,43655,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Pune,"Malaria, Dengue, Tuberculosis, Low Antenatal Care",Medium,13878,World Health Organization India,"UN specialized agency supporting India's health systems, disease eradication, epidemiological research, and policy advisory."
Nagpur,"Malaria, Dengue, Tuberculosis",Medium,73084,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Varanasi,"Malaria, Dengue, Tuberculosis",Medium,19787,National Health Mission (NHM),"Government of India program providing universal healthcare access — maternal & child health, immunization, disease control, and rural health infrastructure."
Coimbatore,"Malaria, Dengue, Tuberculosis",Medium,50362,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Mumbai,"Malaria, Dengue, Tuberculosis, Low Antenatal Care",Low,72039,National Health Mission (NHM),"Government of India program providing universal healthcare access — maternal & child health, immunization, disease control, and rural health infrastructure."
Pune,"Malaria, Dengue, Tuberculosis",Low,36463,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Mumbai,"Malaria, Dengue, Tuberculosis, Low Immunization Coverage",Low,15835,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Vadodara,"Malaria, Dengue, Tuberculosis, Low Antenatal Care",Medium,18419,Smile Foundation,"NGO delivering education, healthcare (mobile medical units), livelihood training, and women empowerment programs across 25+ Indian states."
Pune,"Malaria, Dengue, Tuberculosis, Low Antenatal Care",Medium,53882,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Bengaluru,"Malaria, Dengue, Tuberculosis, Low Antenatal Care",Low,50524,National Family Health Survey (NFHS),"Large-scale household survey program collecting health, nutrition, and family welfare data across Indian states to guide policy."
Vadodara,"Malaria, Dengue, Tuberculosis",Low,31198,Health Management Information System (HMIS),"MoHFW digital platform aggregating public health facility data — OPD/IPD counts, deliveries, immunization, disease surveillance."
Varanasi,"Malaria, Dengue, Tuberculosis",Medium,50340,Health Management Information System (HMIS),"MoHFW digital platform aggregating public health facility data — OPD/IPD counts, deliveries, immunization, disease surveillance."
Bengaluru,"Malaria, Dengue, Tuberculosis, Low Immunization Coverage",Low,71098,World Health Organization India,"UN specialized agency supporting India's health systems, disease eradication, epidemiological research, and policy advisory."
Chennai,"Malaria, Dengue, Tuberculosis",Low,73707,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Mumbai,"Malaria, Dengue, Tuberculosis",High,69094,National Family Health Survey (NFHS),"Large-scale household survey program collecting health, nutrition, and family welfare data across Indian states to guide policy."
Lucknow,"Malaria, Dengue, Tuberculosis, Low Immunization Coverage",High,22009,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Mumbai,"Malaria, Dengue, Tuberculosis, Low Antenatal Care",Medium,50113,World Health Organization India,"UN specialized agency supporting India's health systems, disease eradication, epidemiological research, and policy advisory."
Mumbai,"Malaria, Dengue, Tuberculosis",Medium,22252,Health Management Information System (HMIS),"MoHFW digital platform aggregating public health facility data — OPD/IPD counts, deliveries, immunization, disease surveillance."
Lucknow,"Malaria, Dengue, Tuberculosis, Low Immunization Coverage",High,36640,Health Management Information System (HMIS),"MoHFW digital platform aggregating public health facility data — OPD/IPD counts, deliveries, immunization, disease surveillance."
Coimbatore,"Malaria, Dengue, Tuberculosis",Medium,37940,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Mysuru,"Malaria, Dengue, Tuberculosis",Low,33511,World Health Organization India,"UN specialized agency supporting India's health systems, disease eradication, epidemiological research, and policy advisory."
Coimbatore,"Malaria, Dengue, Tuberculosis",Low,22649,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Pune,"Malaria, Dengue, Tuberculosis",Medium,21635,National Health Mission (NHM),"Government of India program providing universal healthcare access — maternal & child health, immunization, disease control, and rural health infrastructure."
Nagpur,"Malaria, Dengue, Tuberculosis",Low,41953,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Varanasi,"Malaria, Dengue, Tuberculosis",Low,46128,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Ahmedabad,"Malaria, Dengue, Tuberculosis, Low Antenatal Care",Medium,25456,Smile Foundation,"NGO delivering education, healthcare (mobile medical units), livelihood training, and women empowerment programs across 25+ Indian states."
Varanasi,"Malaria, Dengue, Tuberculosis",High,13477,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Ahmedabad,"Malaria, Dengue, Tuberculosis",High,57515,National Health Mission (NHM),"Government of India program providing universal healthcare access — maternal & child health, immunization, disease control, and rural health infrastructure."
Mysuru,"Malaria, Dengue, Tuberculosis",Medium,52264,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Chennai,"Malaria, Dengue, Tuberculosis",High,38603,Smile Foundation,"NGO delivering education, healthcare (mobile medical units), livelihood training, and women empowerment programs across 25+ Indian states."
Agra,"Malaria, Dengue, Tuberculosis",High,30348,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Hubli,"Malaria, Dengue, Tuberculosis",High,19361,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Mysuru,"Malaria, Dengue, Tuberculosis",High,57608,National Family Health Survey (NFHS),"Large-scale household survey program collecting health, nutrition, and family welfare data across Indian states to guide policy."
Mysuru,"Malaria, Dengue, Tuberculosis, Low Antenatal Care",Low,48426,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Hubli,"Malaria, Dengue, Tuberculosis",Low,74054,Smile Foundation,"NGO delivering education, healthcare (mobile medical units), livelihood training, and women empowerment programs across 25+ Indian states."
Ahmedabad,"Malaria, Dengue, Tuberculosis",High,53793,Health Management Information System (HMIS),"MoHFW digital platform aggregating public health facility data — OPD/IPD counts, deliveries, immunization, disease surveillance."
Nagpur,"Malaria, Dengue, Tuberculosis",High,53224,National Family Health Survey (NFHS),"Large-scale household survey program collecting health, nutrition, and family welfare data across Indian states to guide policy."
Varanasi,"Malaria, Dengue, Tuberculosis",Low,16629,National Health Mission (NHM),"Government of India program providing universal healthcare access — maternal & child health, immunization, disease control, and rural health infrastructure."
Madurai,"Malaria, Dengue, Tuberculosis",Low,71589,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Coimbatore,"Malaria, Dengue, Tuberculosis",Medium,19347,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Agra,"Malaria, Dengue, Tuberculosis",Low,33275,Health Management Information System (HMIS),"MoHFW digital platform aggregating public health facility data — OPD/IPD counts, deliveries, immunization, disease surveillance."
Surat,"Malaria, Dengue, Tuberculosis",High,56702,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Agra,"Malaria, Dengue, Tuberculosis, Low Immunization Coverage",Low,68703,National Health Mission (NHM),"Government of India program providing universal healthcare access — maternal & child health, immunization, disease control, and rural health infrastructure."
Coimbatore,"Malaria, Dengue, Tuberculosis",High,39332,National Family Health Survey (NFHS),"Large-scale household survey program collecting health, nutrition, and family welfare data across Indian states to guide policy."
Mysuru,"Malaria, Dengue, Tuberculosis, Low Immunization Coverage",Low,38254,National Health Mission (NHM),"Government of India program providing universal healthcare access — maternal & child health, immunization, disease control, and rural health infrastructure."
Coimbatore,"Malaria, Dengue, Tuberculosis",Medium,50902,World Health Organization India,"UN specialized agency supporting India's health systems, disease eradication, epidemiological research, and policy advisory."
Agra,"Malaria, Dengue, Tuberculosis",High,28053,National Health Mission (NHM),"Government of India program providing universal healthcare access — maternal & child health, immunization, disease control, and rural health infrastructure."
Madurai,"Malaria, Dengue, Tuberculosis",Low,61740,Health Management Information System (HMIS),"MoHFW digital platform aggregating public health facility data — OPD/IPD counts, deliveries, immunization, disease surveillance."
Agra,"Malaria, Dengue, Tuberculosis",High,62044,Health Management Information System (HMIS),"MoHFW digital platform aggregating public health facility data — OPD/IPD counts, deliveries, immunization, disease surveillance."
Chennai,"Malaria, Dengue, Tuberculosis",Medium,44809,National Family Health Survey (NFHS),"Large-scale household survey program collecting health, nutrition, and family welfare data across Indian states to guide policy."
Chennai,"Malaria, Dengue, Tuberculosis, Low Immunization Coverage",Medium,20919,World Health Organization India,"UN specialized agency supporting India's health systems, disease eradication, epidemiological research, and policy advisory."
Coimbatore,"Malaria, Dengue, Tuberculosis",Low,16421,Health Management Information System (HMIS),"MoHFW digital platform aggregating public health facility data — OPD/IPD counts, deliveries, immunization, disease surveillance."
Lucknow,"Malaria, Dengue, Tuberculosis, Low Antenatal Care",High,62623,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Surat,"Malaria, Dengue, Tuberculosis",Low,59323,National Family Health Survey (NFHS),"Large-scale household survey program collecting health, nutrition, and family welfare data across Indian states to guide policy."
Varanasi,"Malaria, Dengue, Tuberculosis",Low,32319,Health Management Information System (HMIS),"MoHFW digital platform aggregating public health facility data — OPD/IPD counts, deliveries, immunization, disease surveillance."
Chennai,"Malaria, Dengue, Tuberculosis",High,61619,Health Management Information System (HMIS),"MoHFW digital platform aggregating public health facility data — OPD/IPD counts, deliveries, immunization, disease surveillance."
Nagpur,"Malaria, Dengue, Tuberculosis",High,72548,National Family Health Survey (NFHS),"Large-scale household survey program collecting health, nutrition, and family welfare data across Indian states to guide policy."
Madurai,"Malaria, Dengue, Tuberculosis",Medium,57631,Health Management Information System (HMIS),"MoHFW digital platform aggregating public health facility data — OPD/IPD counts, deliveries, immunization, disease surveillance."
Surat,"Malaria, Dengue, Tuberculosis",High,57207,Smile Foundation,"NGO delivering education, healthcare (mobile medical units), livelihood training, and women empowerment programs across 25+ Indian states."
Nagpur,"Malaria, Dengue, Tuberculosis",Medium,59239,Health Management Information System (HMIS),"MoHFW digital platform aggregating public health facility data — OPD/IPD counts, deliveries, immunization, disease surveillance."
Chennai,"Malaria, Dengue, Tuberculosis",Low,18714,Health Management Information System (HMIS),"MoHFW digital platform aggregating public health facility data — OPD/IPD counts, deliveries, immunization, disease surveillance."
Vadodara,"Malaria, Dengue, Tuberculosis",Medium,54883,Health Management Information System (HMIS),"MoHFW digital platform aggregating public health facility data — OPD/IPD counts, deliveries, immunization, disease surveillance."
Mysuru,"Malaria, Dengue, Tuberculosis",Low,71712,World Health Organization India,"UN specialized agency supporting India's health systems, disease eradication, epidemiological research, and policy advisory."
Surat,"Malaria, Dengue, Tuberculosis, Low Antenatal Care",High,19355,World Health Organization India,"UN specialized agency supporting India's health systems, disease eradication, epidemiological research, and policy advisory."
Mumbai,"Malaria, Dengue, Tuberculosis, Low Immunization Coverage",Low,72036,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Vadodara,"Malaria, Dengue, Tuberculosis",High,30411,National Health Mission (NHM),"Government of India program providing universal healthcare access — maternal & child health, immunization, disease control, and rural health infrastructure."
Lucknow,"Malaria, Dengue, Tuberculosis",Low,22642,World Health Organization India,"UN specialized agency supporting India's health systems, disease eradication, epidemiological research, and policy advisory."
Varanasi,"Malaria, Dengue, Tuberculosis",Low,65936,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Bengaluru,"Malaria, Dengue, Tuberculosis",Medium,70827,National Health Mission (NHM),"Government of India program providing universal healthcare access — maternal & child health, immunization, disease control, and rural health infrastructure."
Chennai,"Malaria, Dengue, Tuberculosis",Medium,43736,Smile Foundation,"NGO delivering education, healthcare (mobile medical units), livelihood training, and women empowerment programs across 25+ Indian states."
Lucknow,"Malaria, Dengue, Tuberculosis",High,56230,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Mysuru,"Malaria, Dengue, Tuberculosis",Low,71707,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Chennai,"Malaria, Dengue, Tuberculosis, Low Antenatal Care",Medium,37252,Health Management Information System (HMIS),"MoHFW digital platform aggregating public health facility data — OPD/IPD counts, deliveries, immunization, disease surveillance."
Mysuru,"Malaria, Dengue, Tuberculosis",Low,71272,National Family Health Survey (NFHS),"Large-scale household survey program collecting health, nutrition, and family welfare data across Indian states to guide policy."
Pune,"Malaria, Dengue, Tuberculosis",Medium,13862,National Family Health Survey (NFHS),"Large-scale household survey program collecting health, nutrition, and family welfare data across Indian states to guide policy."
Ahmedabad,"Malaria, Dengue, Tuberculosis, Low Antenatal Care",Low,63126,National Family Health Survey (NFHS),"Large-scale household survey program collecting health, nutrition, and family welfare data across Indian states to guide policy."
Hubli,"Malaria, Dengue, Tuberculosis",High,18265,World Health Organization India,"UN specialized agency supporting India's health systems, disease eradication, epidemiological research, and policy advisory."
Vadodara,"Malaria, Dengue, Tuberculosis, Low Immunization Coverage, Low Antenatal Care",Low,56306,National Health Mission (NHM),"Government of India program providing universal healthcare access — maternal & child health, immunization, disease control, and rural health infrastructure."
Vadodara,"Malaria, Dengue, Tuberculosis",Low,23869,World Health Organization India,"UN specialized agency supporting India's health systems, disease eradication, epidemiological research, and policy advisory."
Agra,"Malaria, Dengue, Tuberculosis",High,16657,National Family Health Survey (NFHS),"Large-scale household survey program collecting health, nutrition, and family welfare data across Indian states to guide policy."
Madurai,"Malaria, Dengue, Tuberculosis, Low Antenatal Care",High,23292,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Lucknow,"Malaria, Dengue, Tuberculosis",Low,64169,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Hubli,"Malaria, Dengue, Tuberculosis",Medium,20493,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Vadodara,"Malaria, Dengue, Tuberculosis",Medium,56331,National Family Health Survey (NFHS),"Large-scale household survey program collecting health, nutrition, and family welfare data across Indian states to guide policy."
Madurai,"Malaria, Dengue, Tuberculosis, Low Antenatal Care",Low,18830,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Nagpur,"Malaria, Dengue, Tuberculosis",Low,62764,National Family Health Survey (NFHS),"Large-scale household survey program collecting health, nutrition, and family welfare data across Indian states to guide policy."
Chennai,"Malaria, Dengue, Tuberculosis",Medium,44170,National Health Mission (NHM),"Government of India program providing universal healthcare access — maternal & child health, immunization, disease control, and rural health infrastructure."
Mumbai,"Malaria, Dengue, Tuberculosis",Medium,17701,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Hubli,"Malaria, Dengue, Tuberculosis",Medium,44123,Smile Foundation,"NGO delivering education, healthcare (mobile medical units), livelihood training, and women empowerment programs across 25+ Indian states."
Vadodara,"Malaria, Dengue, Tuberculosis",High,44343,National Family Health Survey (NFHS),"Large-scale household survey program collecting health, nutrition, and family welfare data across Indian states to guide policy."
Ahmedabad,"Malaria, Dengue, Tuberculosis",Low,42667,Smile Foundation,"NGO delivering education, healthcare (mobile medical units), livelihood training, and women empowerment programs across 25+ Indian states."
Lucknow,"Malaria, Dengue, Tuberculosis",Medium,48761,Smile Foundation,"NGO delivering education, healthcare (mobile medical units), livelihood training, and women empowerment programs across 25+ Indian states."
Surat,"Malaria, Dengue, Tuberculosis",High,45671,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Lucknow,"Malaria, Dengue, Tuberculosis, Low Antenatal Care",Medium,18645,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Mysuru,"Malaria, Dengue, Tuberculosis",High,35589,Health Management Information System (HMIS),"MoHFW digital platform aggregating public health facility data — OPD/IPD counts, deliveries, immunization, disease surveillance."
Surat,"Malaria, Dengue, Tuberculosis",Medium,12587,Health Management Information System (HMIS),"MoHFW digital platform aggregating public health facility data — OPD/IPD counts, deliveries, immunization, disease surveillance."
Madurai,"Malaria, Dengue, Tuberculosis",Medium,72394,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Ahmedabad,"Malaria, Dengue, Tuberculosis",High,20399,National Family Health Survey (NFHS),"Large-scale household survey program collecting health, nutrition, and family welfare data across Indian states to guide policy."
