village_name,problem_type,severity,affected_families,ngo_name,ngo_work,state,district,year,month,population,malaria_cases,dengue_cases,tb_cases
"Gaya, Bihar",Malaria Cases; Dengue Outbreak; High TB Burden; Low Institutional Deliveries,High,150,WHO India,"Disease surveillance, health policy advisory, epidemic preparedness, and public health research",Bihar,Gaya,2022,Feb,340625,200,243,234
"Pune, Maharashtra",Malaria Outbreak; Dengue Outbreak; High TB Burden; Low ANC Registrations,Low,170,HMIS,Government health data collection and reporting (Health Management Information System),Maharashtra,Pune,2022,Apr,89768,278,332,158
"Gaya, Bihar",Malaria Outbreak; Dengue Cases; High TB Burden; Low Immunization Coverage,Low,200,Smile Foundation,"Child welfare, healthcare camps, education, and livelihood programs for underprivileged communities",Bihar,Gaya,2023,Aug,434601,498,137,266
"Pune, Maharashtra",Malaria Outbreak; Dengue Outbreak; High TB Burden,Medium,145,CARE India,"Maternal & child health, nutrition, water & sanitation programs",Maharashtra,Pune,2022,Apr,343880,247,228,179
"Howrah, West Bengal",Malaria Outbreak; Dengue Cases; TB Cases,Low,131,Doctors For You,"Emergency medical relief, free OPD/IPD services, disease outbreak response",West Bengal,Howrah,2022,Feb,300280,486,48,56
"Varanasi, Uttar Pradesh",Malaria Cases; Dengue Cases; TB Cases; Low Immunization Coverage; Low Institutional Deliveries,Low,53,Doctors For You,"Emergency medical relief, free OPD/IPD services, disease outbreak response",Uttar Pradesh,Varanasi,2024,May,498352,48,142,49
"Siliguri, West Bengal",Malaria Outbreak; Dengue Outbreak; High TB Burden,Low,170,HMIS,Government health data collection and reporting (Health Management Information System),West Bengal,Siliguri,2021,Jun,206329,254,326,187
"Howrah, West Bengal",Malaria Outbreak; Dengue Outbreak; TB Cases; Low Institutional Deliveries,Medium,181,NFHS,National Family Health Survey — demographic and health indicators research,West Bengal,Howrah,2021,May,388918,438,334,46
"Pune, Maharashtra",Malaria Outbreak; Dengue Cases; High TB Burden; Low Institutional Deliveries,High,183,Doctors For You,"Emergency medical relief, free OPD/IPD services, disease outbreak response",Maharashtra,Pune,2025,Aug,323652,462,78,285
"Chennai, Tamil Nadu",Malaria Outbreak; Dengue Outbreak; High TB Burden; Low Immunization Coverage,Medium,213,HMIS,Government health data collection and reporting (Health Management Information System),Tamil Nadu,Chennai,2021,Apr,464557,399,286,276
"Gaya, Bihar",Malaria Cases; Dengue Cases; High TB Burden,High,111,Doctors For You,"Emergency medical relief, free OPD/IPD services, disease outbreak response",Bihar,Gaya,2021,Sep,83434,200,107,195
"Coimbatore, Tamil Nadu",Malaria Outbreak; Dengue Cases; High TB Burden,High,162,Doctors For You,"Emergency medical relief, free OPD/IPD services, disease outbreak response",Tamil Nadu,Coimbatore,2016,Jan,290015,423,80,226
"Kolkata, West Bengal",Malaria Outbreak; Dengue Outbreak; High TB Burden,High,187,WHO India,"Disease surveillance, health policy advisory, epidemic preparedness, and public health research",West Bengal,Kolkata,2016,May,437309,235,307,300
"Surat, Gujarat",Malaria Cases; Dengue Cases; TB Cases,High,68,HMIS,Government health data collection and reporting (Health Management Information System),Gujarat,Surat,2018,Apr,62495,77,192,39
"Kolkata, West Bengal",Malaria Cases; Dengue Cases; TB Cases,Low,82,UNICEF India,"Child immunization, nutrition, WASH (water, sanitation, hygiene), and health system strengthening",West Bengal,Kolkata,2016,Apr,87607,112,131,129
"Siliguri, West Bengal",Malaria Outbreak; Dengue Cases; TB Cases,High,146,Doctors For You,"Emergency medical relief, free OPD/IPD services, disease outbreak response",West Bengal,Siliguri,2016,May,365430,477,80,100
"Muzaffarpur, Bihar",Malaria Cases; Dengue Outbreak; TB Cases; Low Institutional Deliveries,High,149,WHO India,"Disease surveillance, health policy advisory, epidemic preparedness, and public health research",Bihar,Muzaffarpur,2017,Jun,242292,160,386,128
"Mysuru, Karnataka",Malaria Cases; Dengue Outbreak; High TB Burden,Medium,147,NFHS,National Family Health Survey — demographic and health indicators research,Karnataka,Mysuru,2016,Apr,298531,192,240,233
"Ahmedabad, Gujarat",Malaria Outbreak; Dengue Cases; TB Cases; Low Immunization Coverage,Medium,123,NHM,"National Health Mission — rural healthcare delivery, ASHA worker deployment, immunization",Gujarat,Ahmedabad,2016,Sep,291503,344,127,85
"Coimbatore, Tamil Nadu",Malaria Cases; Dengue Cases; TB Cases; Low Institutional Deliveries,High,71,WHO India,"Disease surveillance, health policy advisory, epidemic preparedness, and public health research",Tamil Nadu,Coimbatore,2016,Aug,377616,166,136,20
"Siliguri, West Bengal",Malaria Outbreak; Dengue Outbreak; TB Cases; Low Immunization Coverage,Medium,156,CARE India,"Maternal & child health, nutrition, water & sanitation programs",West Bengal,Siliguri,2016,Jan,161485,231,362,110
"Varanasi, Uttar Pradesh",Malaria Outbreak; Dengue Outbreak; High TB Burden,Medium,203,CARE India,"Maternal & child health, nutrition, water & sanitation programs",Uttar Pradesh,Varanasi,2018,Jan,177289,418,229,270
"Mumbai, Maharashtra",Malaria Outbreak; Dengue Outbreak; TB Cases; Low Immunization Coverage,High,198,CARE India,"Maternal & child health, nutrition, water & sanitation programs",Maharashtra,Mumbai,2016,Apr,225941,469,353,71
"Bengaluru, Karnataka",Malaria Cases; Dengue Outbreak; TB Cases,High,108,NHM,"National Health Mission — rural healthcare delivery, ASHA worker deployment, immunization",Karnataka,Bengaluru,2018,Mar,72979,103,281,105
"Varanasi, Uttar Pradesh",Malaria Outbreak; Dengue Cases; High TB Burden,Medium,176,UNICEF India,"Child immunization, nutrition, WASH (water, sanitation, hygiene), and health system strengthening",Uttar Pradesh,Varanasi,2017,Jul,181806,462,86,245
"Ahmedabad, Gujarat",Malaria Cases; Dengue Outbreak; High TB Burden; Low ANC Registrations,Medium,158,Doctors For You,"Emergency medical relief, free OPD/IPD services, disease outbreak response",Gujarat,Ahmedabad,2016,Sep,325027,98,384,233
"Surat, Gujarat",Malaria Cases; Dengue Outbreak; TB Cases,High,119,WHO India,"Disease surveillance, health policy advisory, epidemic preparedness, and public health research",Gujarat,Surat,2016,Feb,227086,46,399,92
"Coimbatore, Tamil Nadu",Malaria Outbreak; Dengue Outbreak; TB Cases; Low Institutional Deliveries,Medium,160,Smile Foundation,"Child welfare, healthcare camps, education, and livelihood programs for underprivileged communities",Tamil Nadu,Coimbatore,2018,Feb,245477,395,215,110
"Mumbai, Maharashtra",Malaria Outbreak; Dengue Outbreak; High TB Burden; Low Immunization Coverage; Low ANC Registrations,Low,196,CARE India,"Maternal & child health, nutrition, water & sanitation programs",Maharashtra,Mumbai,2018,Jul,452515,384,204,295
"Lucknow, Uttar Pradesh",Malaria Outbreak; Dengue Cases; TB Cases; Low Immunization Coverage,Low,152,Smile Foundation,"Child welfare, healthcare camps, education, and livelihood programs for underprivileged communities",Uttar Pradesh,Lucknow,2017,Jul,460726,470,92,126
"Mumbai, Maharashtra",Malaria Outbreak; Dengue Outbreak; TB Cases; Low ANC Registrations; Low Institutional Deliveries,Medium,204,Doctors For You,"Emergency medical relief, free OPD/IPD services, disease outbreak response",Maharashtra,Mumbai,2018,Jul,54075,440,347,135
"Patna, Bihar",Malaria Outbreak; Dengue Outbreak; High TB Burden; Low Immunization Coverage,High,211,NHM,"National Health Mission — rural healthcare delivery, ASHA worker deployment, immunization",Bihar,Patna,2016,Jun,496894,381,315,254
"Kolkata, West Bengal",Malaria Cases; Dengue Outbreak; High TB Burden,Low,143,UNICEF India,"Child immunization, nutrition, WASH (water, sanitation, hygiene), and health system strengthening",West Bengal,Kolkata,2018,Jun,305992,167,326,151
"Lucknow, Uttar Pradesh",Malaria Outbreak; Dengue Cases; High TB Burden; Low Institutional Deliveries,Medium,109,CARE India,"Maternal & child health, nutrition, water & sanitation programs",Uttar Pradesh,Lucknow,2018,Feb,212336,273,8,211
"Coimbatore, Tamil Nadu",Malaria Outbreak; Dengue Outbreak; TB Cases; Low Immunization Coverage,High,133,UNICEF India,"Child immunization, nutrition, WASH (water, sanitation, hygiene), and health system strengthening",Tamil Nadu,Coimbatore,2018,May,431727,270,252,78
"Nagpur, Maharashtra",Malaria Cases; Dengue Cases; High TB Burden; Low Immunization Coverage; Low Institutional Deliveries,High,86,HMIS,Government health data collection and reporting (Health Management Information System),Maharashtra,Nagpur,2018,May,200209,82,137,172
"Muzaffarpur, Bihar",Malaria Outbreak; Dengue Cases; TB Cases; Low Immunization Coverage,Medium,96,CARE India,"Maternal & child health, nutrition, water & sanitation programs",Bihar,Muzaffarpur,2017,Jan,428861,251,65,119
"Muzaffarpur, Bihar",Malaria Cases; Dengue Outbreak; High TB Burden; Low Institutional Deliveries,Low,159,HMIS,Government health data collection and reporting (Health Management Information System),Bihar,Muzaffarpur,2016,Jun,336286,196,246,274
"Mysuru, Karnataka",Malaria Cases; Dengue Cases; TB Cases,High,32,NHM,"National Health Mission — rural healthcare delivery, ASHA worker deployment, immunization",Karnataka,Mysuru,2017,Apr,427003,34,31,81
"Gaya, Bihar",Malaria Outbreak; Dengue Cases; TB Cases; Low Immunization Coverage,Medium,107,WHO India,"Disease surveillance, health policy advisory, epidemic preparedness, and public health research",Bihar,Gaya,2018,Jul,141732,245,139,100
"Siliguri, West Bengal",Malaria Outbreak; Dengue Outbreak; High TB Burden; Low Immunization Coverage; Low Institutional Deliveries,Medium,241,UNICEF India,"Child immunization, nutrition, WASH (water, sanitation, hygiene), and health system strengthening",West Bengal,Siliguri,2016,Mar,262336,461,330,297
"Surat, Gujarat",Malaria Cases; Dengue Cases; High TB Burden; Low Institutional Deliveries,Low,110,Doctors For You,"Emergency medical relief, free OPD/IPD services, disease outbreak response",Gujarat,Surat,2017,Jul,199318,135,167,195
"Bengaluru, Karnataka",Malaria Cases; Dengue Cases; High TB Burden; Low Immunization Coverage; Low Institutional Deliveries,High,91,NHM,"National Health Mission — rural healthcare delivery, ASHA worker deployment, immunization",Karnataka,Bengaluru,2018,Aug,430078,190,63,159
"Muzaffarpur, Bihar",Malaria Outbreak; Dengue Outbreak; High TB Burden; Low Immunization Coverage; Low ANC Registrations,High,172,NHM,"National Health Mission — rural healthcare delivery, ASHA worker deployment, immunization",Bihar,Muzaffarpur,2017,Apr,196387,334,213,231
"Madurai, Tamil Nadu",Malaria Outbreak; Dengue Outbreak; High TB Burden,High,231,NHM,"National Health Mission — rural healthcare delivery, ASHA worker deployment, immunization",Tamil Nadu,Madurai,2017,May,127846,438,350,252
"Pune, Maharashtra",Malaria Cases; Dengue Outbreak; TB Cases,Medium,98,CARE India,"Maternal & child health, nutrition, water & sanitation programs",Maharashtra,Pune,2016,Mar,102039,182,260,2
"Surat, Gujarat",Malaria Outbreak; Dengue Cases; High TB Burden; Low Immunization Coverage; Low Institutional Deliveries,Low,159,CARE India,"Maternal & child health, nutrition, water & sanitation programs",Gujarat,Surat,2017,Jun,438035,290,154,274
"Lucknow, Uttar Pradesh",Malaria Cases; Dengue Outbreak; TB Cases,Low,101,HMIS,Government health data collection and reporting (Health Management Information System),Uttar Pradesh,Lucknow,2017,May,354043,85,308,65
"Chennai, Tamil Nadu",Malaria Cases; Dengue Cases; TB Cases; Low Immunization Coverage,Medium,56,Smile Foundation,"Child welfare, healthcare camps, education, and livelihood programs for underprivileged communities",Tamil Nadu,Chennai,2017,Jul,217352,50,84,122
"Lucknow, Uttar Pradesh",Malaria Cases; Dengue Cases; TB Cases,Low,38,HMIS,Government health data collection and reporting (Health Management Information System),Uttar Pradesh,Lucknow,2016,Apr,427145,22,113,39
"Agra, Uttar Pradesh",Malaria Outbreak; Dengue Outbreak; High TB Burden,High,208,HMIS,Government health data collection and reporting (Health Management Information System),Uttar Pradesh,Agra,2017,Jun,323201,364,296,279
"Surat, Gujarat",Malaria Outbreak; Dengue Outbreak; High TB Burden; Low Immunization Coverage; Low Institutional Deliveries,High,220,WHO India,"Disease surveillance, health policy advisory, epidemic preparedness, and public health research",Gujarat,Surat,2018,Mar,361529,466,338,189
"Nagpur, Maharashtra",Malaria Outbreak; Dengue Cases; High TB Burden; Low Institutional Deliveries,Medium,154,Doctors For You,"Emergency medical relief, free OPD/IPD services, disease outbreak response",Maharashtra,Nagpur,2017,Apr,174832,471,38,184
"Chennai, Tamil Nadu",Malaria Outbreak; Dengue Cases; TB Cases,High,99,Doctors For You,"Emergency medical relief, free OPD/IPD services, disease outbreak response",Tamil Nadu,Chennai,2018,Jun,130497,296,92,61
"Varanasi, Uttar Pradesh",Malaria Outbreak; Dengue Outbreak; TB Cases,Medium,167,Doctors For You,"Emergency medical relief, free OPD/IPD services, disease outbreak response",Uttar Pradesh,Varanasi,2017,Feb,66492,412,240,103
"Agra, Uttar Pradesh",Malaria Cases; Dengue Cases; High TB Burden,High,94,UNICEF India,"Child immunization, nutrition, WASH (water, sanitation, hygiene), and health system strengthening",Uttar Pradesh,Agra,2018,Apr,142709,126,67,234
"Gaya, Bihar",Malaria Outbreak; Dengue Cases; TB Cases; Low Immunization Coverage,High,140,UNICEF India,"Child immunization, nutrition, WASH (water, sanitation, hygiene), and health system strengthening",Bihar,Gaya,2018,Sep,412403,354,191,86
"Coimbatore, Tamil Nadu",Malaria Outbreak; Dengue Cases; TB Cases; Low Immunization Coverage; Low Institutional Deliveries,High,118,HMIS,Government health data collection and reporting (Health Management Information System),Tamil Nadu,Coimbatore,2018,May,173002,389,12,130
"Howrah, West Bengal",Malaria Outbreak; Dengue Cases; TB Cases; Low Immunization Coverage,High,98,Doctors For You,"Emergency medical relief, free OPD/IPD services, disease outbreak response",West Bengal,Howrah,2016,Sep,490307,385,18,41
"Kolkata, West Bengal",Malaria Outbreak; Dengue Cases; High TB Burden,Low,156,NHM,"National Health Mission — rural healthcare delivery, ASHA worker deployment, immunization",West Bengal,Kolkata,2017,May,180041,447,12,247
"Ahmedabad, Gujarat",Malaria Cases; Dengue Cases; TB Cases,High,57,Doctors For You,"Emergency medical relief, free OPD/IPD services, disease outbreak response",Gujarat,Ahmedabad,2017,Aug,136760,39,107,114
"Hubli, Karnataka",Malaria Outbreak; Dengue Outbreak; TB Cases,Low,215,Doctors For You,"Emergency medical relief, free OPD/IPD services, disease outbreak response",Karnataka,Hubli,2016,Jun,193859,486,346,136
"Varanasi, Uttar Pradesh",Malaria Cases; Dengue Outbreak; High TB Burden,Low,153,Smile Foundation,"Child welfare, healthcare camps, education, and livelihood programs for underprivileged communities",Uttar Pradesh,Varanasi,2017,Jan,82402,196,306,187
"Hubli, Karnataka",Malaria Outbreak; Dengue Outbreak; TB Cases,Low,188,CARE India,"Maternal & child health, nutrition, water & sanitation programs",Karnataka,Hubli,2017,Apr,65400,455,326,69
"Coimbatore, Tamil Nadu",Malaria Outbreak; Dengue Cases; TB Cases; Low Immunization Coverage,Low,113,UNICEF India,"Child immunization, nutrition, WASH (water, sanitation, hygiene), and health system strengthening",Tamil Nadu,Coimbatore,2018,Aug,419914,432,73,4
"Muzaffarpur, Bihar",Malaria Outbreak; Dengue Outbreak; High TB Burden,Medium,162,WHO India,"Disease surveillance, health policy advisory, epidemic preparedness, and public health research",Bihar,Muzaffarpur,2017,Jan,281450,253,224,255
"Chennai, Tamil Nadu",Malaria Cases; Dengue Outbreak; High TB Burden; Low Immunization Coverage,High,169,HMIS,Government health data collection and reporting (Health Management Information System),Tamil Nadu,Chennai,2018,Aug,437905,158,357,249
"Varanasi, Uttar Pradesh",Malaria Outbreak; Dengue Cases; High TB Burden,Low,167,NFHS,National Family Health Survey — demographic and health indicators research,Uttar Pradesh,Varanasi,2017,May,69390,426,67,262
"Lucknow, Uttar Pradesh",Malaria Cases; Dengue Outbreak; High TB Burden,High,131,HMIS,Government health data collection and reporting (Health Management Information System),Uttar Pradesh,Lucknow,2016,Apr,317391,143,209,240
"Varanasi, Uttar Pradesh",Malaria Cases; Dengue Outbreak; High TB Burden,High,121,CARE India,"Maternal & child health, nutrition, water & sanitation programs",Uttar Pradesh,Varanasi,2018,Jun,256302,12,352,181
"Chennai, Tamil Nadu",Malaria Outbreak; Dengue Cases; High TB Burden,Low,145,Smile Foundation,"Child welfare, healthcare camps, education, and livelihood programs for underprivileged communities",Tamil Nadu,Chennai,2018,Jul,435650,259,196,198
"Mumbai, Maharashtra",Malaria Outbreak; Dengue Outbreak; TB Cases; Low Immunization Coverage; Low Institutional Deliveries,Low,158,NHM,"National Health Mission — rural healthcare delivery, ASHA worker deployment, immunization",Maharashtra,Mumbai,2016,Aug,350023,239,345,130
"Surat, Gujarat",Malaria Cases; Dengue Cases; High TB Burden; Low Immunization Coverage,Medium,79,NHM,"National Health Mission — rural healthcare delivery, ASHA worker deployment, immunization",Gujarat,Surat,2018,Sep,416619,34,44,278
"Chennai, Tamil Nadu",Malaria Outbreak; Dengue Outbreak; High TB Burden; Low Institutional Deliveries,High,175,NFHS,National Family Health Survey — demographic and health indicators research,Tamil Nadu,Chennai,2018,Apr,126535,272,256,261
"Agra, Uttar Pradesh",Malaria Outbreak; Dengue Cases; High TB Burden; Low Immunization Coverage,High,108,Doctors For You,"Emergency medical relief, free OPD/IPD services, disease outbreak response",Uttar Pradesh,Agra,2018,Jul,256443,206,74,206
"Lucknow, Uttar Pradesh",Malaria Outbreak; Dengue Cases; TB Cases; Low Immunization Coverage,Medium,99,Smile Foundation,"Child welfare, healthcare camps, education, and livelihood programs for underprivileged communities",Uttar Pradesh,Lucknow,2018,Jan,447367,236,123,87
"Surat, Gujarat",Malaria Cases; Dengue Cases; High TB Burden,High,76,NHM,"National Health Mission — rural healthcare delivery, ASHA worker deployment, immunization",Gujarat,Surat,2018,Jan,122750,15,89,240
"Mysuru, Karnataka",Malaria Outbreak; Dengue Outbreak; TB Cases; Low Immunization Coverage; Low ANC Registrations; Low Institutional Deliveries,Medium,158,HMIS,Government health data collection and reporting (Health Management Information System),Karnataka,Mysuru,2018,Jul,221703,377,309,28
"Kolkata, West Bengal",Malaria Cases; Dengue Outbreak; TB Cases; Low Immunization Coverage,Low,91,CARE India,"Maternal & child health, nutrition, water & sanitation programs",West Bengal,Kolkata,2018,Jun,485233,79,208,123
"Agra, Uttar Pradesh",Malaria Outbreak; Dengue Cases; TB Cases; Low Immunization Coverage,Low,152,Doctors For You,"Emergency medical relief, free OPD/IPD services, disease outbreak response",Uttar Pradesh,Agra,2018,Jan,484611,380,154,150
"Muzaffarpur, Bihar",Malaria Cases; Dengue Outbreak; High TB Burden,Medium,130,Doctors For You,"Emergency medical relief, free OPD/IPD services, disease outbreak response",Bihar,Muzaffarpur,2018,Jun,297185,87,204,295
"Surat, Gujarat",Malaria Outbreak; Dengue Cases; High TB Burden; Low Immunization Coverage,Low,158,Doctors For You,"Emergency medical relief, free OPD/IPD services, disease outbreak response",Gujarat,Surat,2017,Jul,109193,400,24,289
"Vadodara, Gujarat",Malaria Cases; Dengue Cases; High TB Burden; Low Immunization Coverage,High,112,UNICEF India,"Child immunization, nutrition, WASH (water, sanitation, hygiene), and health system strengthening",Gujarat,Vadodara,2017,Aug,390726,103,164,237
"Lucknow, Uttar Pradesh",Malaria Cases; Dengue Outbreak; TB Cases; Low Immunization Coverage; Low ANC Registrations,Medium,121,NHM,"National Health Mission — rural healthcare delivery, ASHA worker deployment, immunization",Uttar Pradesh,Lucknow,2017,Mar,349420,131,292,125
"Mysuru, Karnataka",Malaria Cases; Dengue Cases; TB Cases,Low,60,Doctors For You,"Emergency medical relief, free OPD/IPD services, disease outbreak response",Karnataka,Mysuru,2017,Jul,381085,147,81,43
"Pune, Maharashtra",Malaria Outbreak; Dengue Outbreak; High TB Burden,Low,191,UNICEF India,"Child immunization, nutrition, WASH (water, sanitation, hygiene), and health system strengthening",Maharashtra,Pune,2016,Mar,84418,237,352,271
"Mysuru, Karnataka",Malaria Outbreak; Dengue Outbreak; TB Cases,Low,136,HMIS,Government health data collection and reporting (Health Management Information System),Karnataka,Mysuru,2017,Mar,237618,268,225,122
"Madurai, Tamil Nadu",Malaria Outbreak; Dengue Outbreak; TB Cases; Low Institutional Deliveries,High,132,Smile Foundation,"Child welfare, healthcare camps, education, and livelihood programs for underprivileged communities",Tamil Nadu,Madurai,2017,Jun,402445,355,218,25
"Kolkata, West Bengal",Malaria Cases; Dengue Outbreak; TB Cases; Low Immunization Coverage; Low Institutional Deliveries,Medium,72,NHM,"National Health Mission — rural healthcare delivery, ASHA worker deployment, immunization",West Bengal,Kolkata,2017,Jan,486534,10,301,13
"Bengaluru, Karnataka",Malaria Outbreak; Dengue Cases; TB Cases; Low Immunization Coverage,Low,149,UNICEF India,"Child immunization, nutrition, WASH (water, sanitation, hygiene), and health system strengthening",Karnataka,Bengaluru,2017,Aug,244048,482,46,144
"Vadodara, Gujarat",Malaria Outbreak; Dengue Cases; High TB Burden,High,148,CARE India,"Maternal & child health, nutrition, water & sanitation programs",Gujarat,Vadodara,2017,Jun,461784,291,156,220
"Gaya, Bihar",Malaria Outbreak; Dengue Cases; TB Cases,Medium,99,Smile Foundation,"Child welfare, healthcare camps, education, and livelihood programs for underprivileged communities",Bihar,Gaya,2018,Jan,128351,229,178,40
"Nagpur, Maharashtra",Malaria Cases; Dengue Outbreak; High TB Burden,Low,127,UNICEF India,"Child immunization, nutrition, WASH (water, sanitation, hygiene), and health system strengthening",Maharashtra,Nagpur,2018,Mar,356604,71,318,183
"Bengaluru, Karnataka",Malaria Outbreak; Dengue Cases; TB Cases; Low Immunization Coverage,Medium,118,WHO India,"Disease surveillance, health policy advisory, epidemic preparedness, and public health research",Karnataka,Bengaluru,2018,Jan,159007,370,153,8
"Kolkata, West Bengal",Malaria Cases; Dengue Outbreak; High TB Burden,High,164,WHO India,"Disease surveillance, health policy advisory, epidemic preparedness, and public health research",West Bengal,Kolkata,2016,May,159328,171,358,213
"Varanasi, Uttar Pradesh",Malaria Outbreak; Dengue Cases; High TB Burden; Low Institutional Deliveries,Low,106,WHO India,"Disease surveillance, health policy advisory, epidemic preparedness, and public health research",Uttar Pradesh,Varanasi,2016,Apr,494750,234,67,179
"Bengaluru, Karnataka",Malaria Outbreak; Dengue Outbreak; TB Cases; Low Immunization Coverage; Low ANC Registrations,High,136,UNICEF India,"Child immunization, nutrition, WASH (water, sanitation, hygiene), and health system strengthening",Karnataka,Bengaluru,2017,Jul,413681,237,339,38
"Surat, Gujarat",Malaria Cases; Dengue Outbreak; TB Cases; Low Immunization Coverage; Low ANC Registrations,Low,74,UNICEF India,"Child immunization, nutrition, WASH (water, sanitation, hygiene), and health system strengthening",Gujarat,Surat,2017,Jan,481090,10,231,94
"Siliguri, West Bengal",Malaria Cases; Dengue Cases; High TB Burden; Low ANC Registrations,Medium,69,NFHS,National Family Health Survey — demographic and health indicators research,West Bengal,Siliguri,2016,Feb,64781,21,118,173
"Coimbatore, Tamil Nadu",Malaria Outbreak; Dengue Cases; TB Cases; Low ANC Registrations,Low,89,HMIS,Government health data collection and reporting (Health Management Information System),Tamil Nadu,Coimbatore,2018,Apr,336017,204,121,79
"Mysuru, Karnataka",Malaria Outbreak; Dengue Cases; TB Cases; Low Immunization Coverage,High,124,UNICEF India,"Child immunization, nutrition, WASH (water, sanitation, hygiene), and health system strengthening",Karnataka,Mysuru,2016,Feb,221509,330,96,132
"Howrah, West Bengal",Malaria Outbreak; Dengue Outbreak; TB Cases; Low Immunization Coverage; Low Institutional Deliveries,High,202,NFHS,National Family Health Survey — demographic and health indicators research,West Bengal,Howrah,2016,Apr,386572,499,278,135
"Gaya, Bihar",Malaria Outbreak; Dengue Cases; High TB Burden; Low ANC Registrations,Low,134,Doctors For You,"Emergency medical relief, free OPD/IPD services, disease outbreak response",Bihar,Gaya,2017,May,382540,225,198,180
"Muzaffarpur, Bihar",Malaria Outbreak; Dengue Cases; High TB Burden,High,162,WHO India,"Disease surveillance, health policy advisory, epidemic preparedness, and public health research",Bihar,Muzaffarpur,2016,Sep,223751,303,172,256
"Ahmedabad, Gujarat",Malaria Cases; Dengue Outbreak; High TB Burden; Low Immunization Coverage,High,138,HMIS,Government health data collection and reporting (Health Management Information System),Gujarat,Ahmedabad,2017,Aug,322530,48,314,263
"Mumbai, Maharashtra",Malaria Cases; Dengue Outbreak; TB Cases; Low ANC Registrations,High,127,NHM,"National Health Mission — rural healthcare delivery, ASHA worker deployment, immunization",Maharashtra,Mumbai,2018,Feb,298066,164,313,96
"Chennai, Tamil Nadu",Malaria Cases; Dengue Cases; TB Cases; Low Immunization Coverage,High,51,Smile Foundation,"Child welfare, healthcare camps, education, and livelihood programs for underprivileged communities",Tamil Nadu,Chennai,2018,May,278450,56,49,126
"Varanasi, Uttar Pradesh",Malaria Cases; Dengue Cases; High TB Burden; Low Immunization Coverage,High,103,HMIS,Government health data collection and reporting (Health Management Information System),Uttar Pradesh,Varanasi,2016,Feb,450353,186,114,165
"Mumbai, Maharashtra",Malaria Outbreak; Dengue Cases; TB Cases; Low Immunization Coverage,High,89,NFHS,National Family Health Survey — demographic and health indicators research,Maharashtra,Mumbai,2017,Apr,370976,304,26,74
"Nagpur, Maharashtra",Malaria Outbreak; Dengue Outbreak; TB Cases,Low,171,Smile Foundation,"Child welfare, healthcare camps, education, and livelihood programs for underprivileged communities",Maharashtra,Nagpur,2016,Sep,206072,289,386,96
"Howrah, West Bengal",Malaria Outbreak; Dengue Cases; TB Cases,High,114,WHO India,"Disease surveillance, health policy advisory, epidemic preparedness, and public health research",West Bengal,Howrah,2016,Aug,79441,326,64,127
"Mysuru, Karnataka",Malaria Cases; Dengue Cases; TB Cases,Medium,36,CARE India,"Maternal & child health, nutrition, water & sanitation programs",Karnataka,Mysuru,2016,Feb,304330,23,49,94
"Bengaluru, Karnataka",Malaria Cases; Dengue Cases; TB Cases,Low,63,NFHS,National Family Health Survey — demographic and health indicators research,Karnataka,Bengaluru,2018,Jul,434332,199,30,57
"Chennai, Tamil Nadu",Malaria Outbreak; Dengue Cases; TB Cases; Low Immunization Coverage,High,140,Doctors For You,"Emergency medical relief, free OPD/IPD services, disease outbreak response",Tamil Nadu,Chennai,2018,Mar,416794,399,166,67
"Bengaluru, Karnataka",Malaria Outbreak; Dengue Cases; TB Cases,Medium,120,NHM,"National Health Mission — rural healthcare delivery, ASHA worker deployment, immunization",Karnataka,Bengaluru,2018,May,219435,388,111,45
"Patna, Bihar",Malaria Cases; Dengue Outbreak; High TB Burden; Low Immunization Coverage,Medium,137,NHM,"National Health Mission — rural healthcare delivery, ASHA worker deployment, immunization",Bihar,Patna,2016,Jan,422547,100,283,235
"Vadodara, Gujarat",Malaria Cases; Dengue Outbreak; High TB Burden; Low Immunization Coverage,High,123,WHO India,"Disease surveillance, health policy advisory, epidemic preparedness, and public health research",Gujarat,Vadodara,2016,May,254961,103,237,217
"Patna, Bihar",Malaria Cases; Dengue Outbreak; High TB Burden; Low Immunization Coverage,Low,140,HMIS,Government health data collection and reporting (Health Management Information System),Bihar,Patna,2018,Jan,213049,76,301,254
"Patna, Bihar",Malaria Cases; Dengue Outbreak; TB Cases,Medium,83,CARE India,"Maternal & child health, nutrition, water & sanitation programs",Bihar,Patna,2018,Feb,109913,67,262,46
"Muzaffarpur, Bihar",Malaria Cases; Dengue Cases; TB Cases; Low Institutional Deliveries,High,75,Smile Foundation,"Child welfare, healthcare camps, education, and livelihood programs for underprivileged communities",Bihar,Muzaffarpur,2017,Jun,139373,89,180,72
"Patna, Bihar",Malaria Cases; Dengue Cases; TB Cases; Low Immunization Coverage; Low Institutional Deliveries,High,72,CARE India,"Maternal & child health, nutrition, water & sanitation programs",Bihar,Patna,2017,Jul,395707,77,122,129
"Pune, Maharashtra",Malaria Outbreak; Dengue Outbreak; TB Cases; Low Institutional Deliveries,Medium,184,NFHS,National Family Health Survey — demographic and health indicators research,Maharashtra,Pune,2017,Sep,357058,327,388,116
