GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2009,2009,2009,SEAR,South-East Asia,IND,India,SEX,SEX_BTSX,Both sexes,82125.816854905,82 126,,
AIR_35,Joint effects of air pollution attributable deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/ambient-and-household-air-pollution-attributable-deaths,2012,2012,2012,SEAR,South-East Asia,IND,India,SEX,SEX_FMLE,Female,172703.674,172 704 [105 561-252 534],105561.34,252533.767
SA_0000001845,"Average daily intake in grams of alcohol, population (15+)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/average-daily-intake-in-grams-of-alcohol--population-15,2001,2001,2001,SEAR,South-East Asia,IND,India,SEX,SEX_FMLE,Female,1.313206593,1.3 [0.4 - 2.5],0.371041958,2.466230189
NUT_BF_EVBF,Ever breastfed,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/ever-breastfed,1992,1992,1992,SEAR,South-East Asia,IND,India,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,96.2,96.2,,
GHED_GGHE-DGDP_SHA2011,Domestic general government health expenditure (GGHE-D) as percentage of gross domestic product (GDP) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/domestic-general-government-health-expenditure-%28gghe-d%29-as-percentage-of-gross-domestic-product-%28gdp%29-%28-%29,2005,2005,2005,SEAR,South-East Asia,IND,India,,,,0.77590197,0.78,,
WSH_WATER_BASIC,Population using at least basic drinking-water services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-at-least-basic-drinking-water-services-%28-%29,2021,2021,2021,SEAR,South-East Asia,IND,India,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,92.319565711,92,,
WHOSIS_000003,Neonatal mortality rate (per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/neonatal-mortality-rate-%28per-1000-live-births%29,1993,1993,1993,SEAR,South-East Asia,IND,India,SEX,SEX_BTSX,Both sexes,53.425544532,53.4 [50.4-56.5],50.358783854,56.532943157
NCDCCS_COUNTRYRESPONSE,NCD country capacity survey response,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/cancer-diagnosis-and-treatment-services,2021,2021,2021,SEAR,South-East Asia,IND,India,NCDCCS_SECTION,NCDCCS_SECTION_NCD_CCS_TARGET,Country capacity targets,,Yes,,
TOBACCO_MPOWER_O2_MEDICATIONAVAILABILITY,Tobacco Offer help: O2 Availability of tobacco cessation medications,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/offer-help--o2-availability-of-cessation-medications,2007,2007,2007,SEAR,South-East Asia,IND,India,TOBACCO_INDICATOR,TOBACCO_INDICATOR_O_Cytisine_sold,Cytisine - legally sold,,. . .,,
NUT_BF_CBF,Continued breastfeeding 12-23 months,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/continued-breastfeeding-12-23-months,2015,2015,2015,SEAR,South-East Asia,IND,India,EDUCATIONLEVEL,EDUCATIONLEVEL_EDUC_NONE_PRIMARY,None and primary education,84.1,84.1 [83.3-84.8],83.3,84.8
PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/proportion-of-population-with-primary-reliance-on-fuels-and-technologies-for-cooking-by-fuel-type,2012,2012,2012,SEAR,South-East Asia,IND,India,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,0.0,0 [0 - 0.6],0.0,0.6
NUTRITION_ANT_HAZ_NE2,"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-stunted-%28-height-for-age--2-sd%29,2017,2017,2017,SEAR,South-East Asia,IND,India,SEX,SEX_MLE,Male,19.8,19.8 [17.4-22.5],17.4,22.5
NUT_BF_CBF,Continued breastfeeding 12-23 months,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/continued-breastfeeding-12-23-months,2006,2006,2006,SEAR,South-East Asia,IND,India,WEALTHQUINTILE,WEALTHQUINTILE_WQ4,Q4,78.1,78.1 [75.5-80.5],75.5,80.5
AIR_52,"Household air pollution attributable death rate (per 100 000 population, age-standardized)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/household-air-pollution-attributable-death-rate-%28per-100-000-population-age-standardized%29,2010,2010,2010,SEAR,South-East Asia,IND,India,SEX,SEX_BTSX,Both sexes,21.151,21 [15-27],15.118,26.707
NUTRITION_WA_2,"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-underweight-%28-weight-for-age--2-sd%29-%28-%29,2017,2017,2017,SEAR,South-East Asia,IND,India,SEX,SEX_MLE,Male,36.2,36.2 [31.7-40.9],31.7,40.9
WHS3_42,Japanese encephalitis - number of reported cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/japanese-encephalitis---number-of-reported-cases,2019,2019,2019,SEAR,South-East Asia,IND,India,,,,2496.0,2496,,
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/under-five-mortality-rate-%28probability-of-dying-by-age-5-per-1000-live-births%29,2013,2013,2013,SEAR,South-East Asia,IND,India,SEX,SEX_BTSX,Both sexes,48.757672511,48.8 [45.7-52.0],45.654351416,51.991130859
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2006,2006,2006,SEAR,South-East Asia,IND,India,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,0.06651,0.1,,
NCD_DIABETES_PREVALENCE_CRUDE,"Prevalence of diabetes, crude",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-diabetes-treatment-age-standardized,2005,2005,2005,SEAR,South-East Asia,IND,India,SEX,SEX_BTSX,Both sexes,13.134204,13.1 [11.7-14.6],11.735237,14.573458
NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-thinness-among-children-and-adolescents-bmi--2-standard-deviations-below-the-median-%28crude-estimate%29-%28-%29,2018,2018,2018,SEAR,South-East Asia,IND,India,SEX,SEX_FMLE,Female,22.744901,22.7 [20.4-25.1],20.372298,25.13172
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2008,2008,2008,SEAR,South-East Asia,IND,India,SEX,SEX_BTSX,Both sexes,33184.283233185,33 184,,
NUT_CF_MDD,Minimum dietary diversity 6-23 months,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/minimum-dietary-diversity-6-23-months,2017,2017,2017,SEAR,South-East Asia,IND,India,AGEGROUP,AGEGROUP_MONTHS16-19,16 to 19 months,20.2,20.2 [17.7-23.0],17.7,23.0
MDG_0000000025,Births attended by skilled health personnel (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/births-attended-by-skilled-health-personnel-%28-%29,2014,2013,2014,SEAR,South-East Asia,IND,India,,,,81.0,81,,
SDGHIV,New HIV infections (per 1000 uninfected population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/new-hiv-infections-%28per-1000-uninfected-population%29,2014,2014,2014,SEAR,South-East Asia,IND,India,SEX,SEX_MLE,Male,,No data,,
TOBACCO_MPOWER_P1_SMOKEFREEPLACES,Tobacco MPOWER Protect people: P1 smoke-free places (national legislation),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/protect-people--p1-smoke-free-places,2007,2007,2007,SEAR,South-East Asia,IND,India,TOBACCO_INDICATOR,TOBACCO_INDICATOR_P6_restaurants,Smoke-free restaurants,,No,,
FINPROTECTION_IMP_NP365_POP,"Population pushed below the $3.65 a day poverty line by household health expenditures (%, national, rural, urban)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-pushed-below-the-3.65-a-day-poverty-line-by-household-health-expenditures-%28percent--national--rural--urban%29,2000,2000,2000,SEAR,South-East Asia,IND,India,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,1.48,1.48,,
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/under-five-mortality-rate-%28probability-of-dying-by-age-5-per-1000-live-births%29,2012,2012,2012,SEAR,South-East Asia,IND,India,SEX,SEX_BTSX,Both sexes,62.994516809,63.0 [59.1-67.3],59.128374784,67.259989256
HIV_0000000023,Estimated number of children needing antiretroviral therapy based on WHO methods,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-number-of-children-needing-antiretroviral-therapy-based-on-who-methods,2011,2011,2011,SEAR,South-East Asia,IND,India,,,,,No data,,
WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/life-expectancy-at-age-60-%28years%29,2002,2002,2002,SEAR,South-East Asia,IND,India,SEX,SEX_MLE,Male,16.69867232,16.7 [16.5-16.9],16.49024207,16.90628526
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adolescent-mortality-rate-per-1000-age-specific-cohort,2007,2007,2007,SEAR,South-East Asia,IND,India,SEX,SEX_MLE,Male,11.627252604,11.6 [10.7-12.6],10.711159652,12.551463742
NUTRITION_WA_2,"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-underweight-%28-weight-for-age--2-sd%29-%28-%29,2006,2006,2006,SEAR,South-East Asia,IND,India,WEALTHQUINTILE,WEALTHQUINTILE_WQ5,Q5 (Richest),20.9,20.9 [19.6-22.2],19.6,22.2
PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/proportion-of-population-with-primary-reliance-on-fuels-and-technologies-for-cooking-by-fuel-type,1994,1994,1994,SEAR,South-East Asia,IND,India,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,0.0,0 [0 - 0.4],0.0,0.4
AIR_90,"Ambient air pollution attributable DALYs  (per 100 000 population, age-standardized)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/ambient-air-pollution-attributable-dalys-%28per-100-000-population-age-standardized%29,2017,2017,2017,SEAR,South-East Asia,IND,India,SEX,SEX_BTSX,Both sexes,464.478,464 [204-834],203.701,833.961
AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/ambient-air-pollution-attributable-death-rate-%28per-100-000-population-age-standardized%29,2010,2010,2010,SEAR,South-East Asia,IND,India,SEX,SEX_FMLE,Female,12.589,13 [7-19],6.833,19.359
NUTRITION_ANT_WHZ_NE2,"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-overweight-prevalence,2017,2017,2017,SEAR,South-East Asia,IND,India,SEX,SEX_MLE,Male,1.2,1.2 [0.7-2.0],0.7,2.0
NCDCCS_COUNTRYRESPONSE,NCD country capacity survey response,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/cancer-diagnosis-and-treatment-services,2023,2023,2023,SEAR,South-East Asia,IND,India,NCDCCS_SECTION,NCDCCS_SECTION_NCD_CCS_POLSTRATPLAN,"Policies, strategies and plans",,Yes,,
PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-with-primary-reliance-on-fuels-and-technologies-for-cooking-by-fuel-type,2023,2023,2023,SEAR,South-East Asia,IND,India,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,0.0,0 [0 - 2.09],0.0,2.09173628
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2012,2012,2012,SEAR,South-East Asia,IND,India,SEX,SEX_BTSX,Both sexes,208917.894848343,208 918,,
NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-thinness-among-children-and-adolescents-bmi--2-standard-deviations-below-the-median-%28crude-estimate%29-%28-%29,2010,2010,2010,SEAR,South-East Asia,IND,India,SEX,SEX_FMLE,Female,21.566656,21.6 [20.1-23.1],20.125131,23.058419
NCD_BMI_25A,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-overweight-among-adults-bmi--25-%28age-standardized-estimate%29-%28-%29,2017,2017,2017,SEAR,South-East Asia,IND,India,SEX,SEX_BTSX,Both sexes,24.502701,24.5 [23.7-25.3],23.71283,25.320041
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-insufficient-physical-activity-among-adults-aged-18-years-%28age-standardized-estimate%29-%28-%29,2012,2012,2012,SEAR,South-East Asia,IND,India,SEX,SEX_MLE,Male,30.933634,30.9 [23.5-39.1],23.510178,39.067791
TOBACCO_MPOWER_OVERVIEW,"Tobacco MPOWER overview: Monitor, Protect people, Offer help, Warn of dangers, Enforce bans, Raise taxes",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/mpower-overview--monitor--protect-people--offer-help--warn-of-dangers--enforce-bans--raise-taxes,2022,2022,2022,SEAR,South-East Asia,IND,India,TOBACCO_INDICATOR,TOBACCO_INDICATOR_W-MM_Group,Anti-tobacco mass media campaigns,4.0,4,,
SDGHIV,New HIV infections (per 1000 uninfected population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/new-hiv-infections-%28per-1000-uninfected-population%29,2013,2013,2013,SEAR,South-East Asia,IND,India,SEX,SEX_MLE,Male,,No data,,
NUTRITION_WH_3,"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-severe-wasting-br-%28-weight-for-height--3-sd%29,2017,2017,2017,SEAR,South-East Asia,IND,India,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,4.8,4.8 [4.3-5.4],4.3,5.4
AIR_90,"Ambient air pollution attributable DALYs  (per 100 000 population, age-standardized)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/ambient-air-pollution-attributable-dalys-%28per-100-000-population-age-standardized%29,2012,2012,2012,SEAR,South-East Asia,IND,India,SEX,SEX_MLE,Male,1261.814,1262 [892-1580],891.548,1580.279
NCDCCS_COUNTRYRESPONSE,NCD country capacity survey response,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/cancer-diagnosis-and-treatment-services,2017,2017,2017,SEAR,South-East Asia,IND,India,NCDCCS_SECTION,NCDCCS_SECTION_NCD_CCS_MEDICINES,NCD-related medicines,,No,,
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/under-five-mortality-rate-%28probability-of-dying-by-age-5-per-1000-live-births%29,1983,1983,1983,SEAR,South-East Asia,IND,India,SEX,SEX_FMLE,Female,159.621779183,159.6 [153.5-166.0],153.494616035,165.965756668
TB_c_new_tsr,Treatment success rate: new TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-new-tb-cases,2006,2006,2006,SEAR,South-East Asia,IND,India,,,,87.0,87,,
ORALHEALTH_NCD_STAFF,Presence of dedicated staff for oral health working on NCDs at the MoH,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/presence-of-dedicated-staff-for-oral-health-working-on-ncds-at-the-moh,2021,2021,2021,SEAR,South-East Asia,IND,India,,,,,Yes,,
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,Prevalence of anaemia in women of reproductive age (aged 15-49) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-women-of-reproductive-age-%28-%29,2006,2006,2006,SEAR,South-East Asia,IND,India,SEX,SEX_FMLE,Female,49.9,49.9 [39.7-59.3],39.7,59.3
HIV_0000000011,Reported number of children receiving antiretroviral therapy,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/reported-number-of-children-receiving-antiretroviral-therapy,2010,2010,2010,SEAR,South-East Asia,IND,India,,,,,No data,,
PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/proportion-of-population-with-primary-reliance-on-fuels-and-technologies-for-cooking-by-fuel-type,2010,2010,2010,SEAR,South-East Asia,IND,India,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,0.0,0 [0 - 0.6],0.0,0.6
NUTRITION_WH_2,"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-wasted-br-%28-weight-for-height--2-sd%29,2017,2017,2017,SEAR,South-East Asia,IND,India,SEX,SEX_FMLE,Female,15.5,15.5 [14.4-16.7],14.4,16.7
AIR_7,Ambient air pollution attributable DALYs,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/mbd-aap-ambient-air-pollution-attributable-dalys,2012,2012,2012,SEAR,South-East Asia,IND,India,SEX,SEX_MLE,Male,277169.034,277 169 [182 664-380 364],182663.781,380363.566
GHED_EXTCHE_SHA2011,External health expenditure (EXT) as percentage of current health expenditure (CHE) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/external-health-expenditure-%28ext%29-as-percentage-of-current-health-expenditure-%28che%29-%28-%29,2004,2004,2004,SEAR,South-East Asia,IND,India,,,,2.23435068,2.23,,
PHE_HHAIR_POP_POLLUTING_FUELS,Population with primary reliance on polluting fuels and technologies for cooking (in millions),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-with-primary-reliance-on-polluting-fuels-and-technologies-for-cooking-%28in-millions%29,2005,2005,2005,SEAR,South-East Asia,IND,India,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,827.902922874,827.9 [642.0 - 984.94],642.000035032,984.938902666
WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-using-safely-managed-sanitation-services-%28-%29,2017,2017,2017,SEAR,South-East Asia,IND,India,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,47.239669844,47,,
NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-obesity-among-children-and-adolescents-bmi-2-standard-deviations-above-the-median-%28crude-estimate%29-%28-%29,1997,1997,1997,SEAR,South-East Asia,IND,India,SEX,SEX_FMLE,Female,0.15752999,0.2 [0.1-0.2],0.094411761,0.24042977
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adolescent-mortality-rate-per-1000-age-specific-cohort,2003,2003,2003,SEAR,South-East Asia,IND,India,SEX,SEX_BTSX,Both sexes,8.099341976,8.1 [7.8-8.4],7.76559008,8.443788599
PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-with-primary-reliance-on-fuels-and-technologies-for-cooking-by-fuel-type,2002,2002,2002,SEAR,South-East Asia,IND,India,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,267.81449272,267.81 [128.42 - 436.84],128.41924446,436.84495124
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths-among-adolescents-10-19-years-of-age,2018,2018,2018,SEAR,South-East Asia,IND,India,SEX,SEX_FMLE,Female,47118.0,47 118 [42 756-51 679],42756.0,51679.0
NUT_CF_EFF,Egg and/or Flesh Food Consumption 6-23 months,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/egg-and-or-flesh-food-consumption-6-23-months,2020,2020,2020,SEAR,South-East Asia,IND,India,WEALTHQUINTILE,WEALTHQUINTILE_WQ5,Q5 (Richest),18.6,18.6 [17.3-19.9],17.3,19.9
AIR_62,"Household and ambient air pollution attributable DALYs (per 100 000 capita, age-standardized)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/ambient-air-pollution-attributable-dalys-per-100000population,2011,2011,2011,SEAR,South-East Asia,IND,India,SEX,SEX_MLE,Male,1328.306,1328 [769-2010],768.581,2009.668
CM_04,Number of deaths among children ages 5 to 9 years,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths-among-children-ages-5-to-9-years,2012,2012,2012,SEAR,South-East Asia,IND,India,SEX,SEX_FMLE,Female,52959.0,52 959 [49 756-56 947],49756.0,56947.0
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,Prevalence of anaemia in women of reproductive age (aged 15-49) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-women-of-reproductive-age-%28-%29,2021,2021,2021,SEAR,South-East Asia,IND,India,SEX,SEX_FMLE,Female,52.7,52.7 [40.3-62.8],40.3,62.8
NCD_CHOL_MEANTOTALCHOL_C,"Mean total cholesterol,  crude",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/mean-total-cholesterol-%28crude-estimate%29,2008,2008,2008,SEAR,South-East Asia,IND,India,SEX,SEX_MLE,Male,4.3,4.3 [4.2-4.4],4.2,4.4
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2000,2000,2000,SEAR,South-East Asia,IND,India,SEX,SEX_BTSX,Both sexes,180126.20703125,180 126,,
PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-with-primary-reliance-on-fuels-and-technologies-for-cooking-by-fuel-type,2020,2020,2020,SEAR,South-East Asia,IND,India,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,0.0,0 [0 - 2.45],0.0,2.449406455
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2000,2000,2000,SEAR,South-East Asia,IND,India,SEX,SEX_BTSX,Both sexes,492008.124769691,492 008,,
NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-obesity-among-children-and-adolescents-bmi-2-standard-deviations-above-the-median-%28crude-estimate%29-%28-%29,2020,2020,2020,SEAR,South-East Asia,IND,India,SEX,SEX_BTSX,Both sexes,4.3886364,4.4 [3.6-5.3],3.5934858,5.2838929
TOBACCO_MPOWER_R_TAXADMINISTRATION,Tobacco Raise taxes: Tax administration,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tobacco-raise-taxes--tax-administration,2024,2024,2024,SEAR,South-East Asia,IND,India,TOBACCO_INDICATOR,TOBACCO_INDICATOR_R_admin_tax_stamps_cig,"Tax administration: tax stamps, fiscal marks, banderoles or any other type of marking applied on cigarettes",,No,,
SDGHIV,New HIV infections (per 1000 uninfected population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/new-hiv-infections-%28per-1000-uninfected-population%29,2011,2011,2011,SEAR,South-East Asia,IND,India,SEX,SEX_MLE,Male,,No data,,
NCD_CHOL_MEANHDL_A,"Mean HDL cholesterol, age-standardized",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/mean-hdl-cholesterol-age-standardized-estimate,2006,2006,2006,SEAR,South-East Asia,IND,India,SEX,SEX_FMLE,Female,1.1,1.1 [1.0-1.1],1.0,1.1
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/infant-mortality-rate-%28probability-of-dying-between-birth-and-age-1-per-1000-live-births%29,1979,1979,1979,SEAR,South-East Asia,IND,India,SEX,SEX_MLE,Male,115.140521529,115.1 [110.4-120.0],110.421479524,120.03670883
NCDCCS_COUNTRYRESPONSE,NCD country capacity survey response,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/cancer-diagnosis-and-treatment-services,2023,2023,2023,SEAR,South-East Asia,IND,India,NCDCCS_SECTION,NCDCCS_SECTION_NCD_CCS_INFRASTRUCTURE,Infrastructure,,Yes,,
CHILDDEATH5TO14,Number of deaths among children 5 to 14 years of age,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths-among-children-ages-5-to-14-years,1997,1997,1997,SEAR,South-East Asia,IND,India,SEX,SEX_MLE,Male,196226.0,196 226 [184 702-207 990],184702.0,207990.0
NCDCCS_COUNTRYRESPONSE,NCD country capacity survey response,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/cancer-diagnosis-and-treatment-services,2023,2023,2023,SEAR,South-East Asia,IND,India,NCDCCS_SECTION,NCDCCS_SECTION_NCD_CCS_MGMTPROCEDURESPUBLIC,Procedures for NCD management at higher levels of the public health system,,Yes,,
WHOSIS_000007,Healthy life expectancy (HALE) at age 60 (years),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-ghe-hale-healthy-life-expectancy-at-age-60,2012,2012,2012,SEAR,South-East Asia,IND,India,SEX,SEX_FMLE,Female,13.59059394,13.6 [13.0-14.2],12.98965936,14.15470413
NUT_CF_EFF,Egg and/or Flesh Food Consumption 6-23 months,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/egg-and-or-flesh-food-consumption-6-23-months,2006,2006,2006,SEAR,South-East Asia,IND,India,AGEGROUP,AGEGROUP_MONTHS12-23,12 to 23 months,15.0,15.0 [14.0-16.0],14.0,16.0
SA_0000001751,"Alcohol, average daily intake in grams among drinkers, three-year average",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/alcohol-average-daily-intake-in-grams-among-drinkers-with-95-ci,2011,2011,2011,SEAR,South-East Asia,IND,India,SEX,SEX_FMLE,Female,16.508646186,16.5 [8.2 - 25.5],8.183712876,25.487129251
M_Est_smk_curr_std,Estimate of current tobacco smoking prevalence (%) (age-standardized),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-tobacco-control-monitor-current-tobaccouse-tobaccosmoking-cigarrettesmoking-agestd-tobagestdcurr,2015,2015,2015,SEAR,South-East Asia,IND,India,SEX,SEX_FMLE,Female,2.4,2.4 [1.9-2.9],1.9,2.9
